gFx,gFy,gFz
0.053,-0.037,1.0432
0.0549,-0.0311,1.0312
0.0552,-0.0299,1.0219
0.0559,-0.0262,1.0199
0.0583,-0.026,1.016
0.061,-0.026,1.0151
0.061,-0.0189,1.0107
0.0561,-0.0211,1.0055
0.062,-0.0204,0.9982
0.0605,-0.0179,0.9892
0.0569,-0.0199,0.9772
0.0625,-0.0201,0.9679
0.0595,-0.0201,0.9611
0.0595,-0.0233,0.9552
0.0591,-0.0238,0.9528
0.0573,-0.0206,0.9518
0.0591,-0.0204,0.953
0.0581,-0.0214,0.9542
0.053,-0.0209,0.9601
0.0559,-0.0216,0.964
0.0542,-0.0236,0.9713
0.0549,-0.0214,0.9787
0.0547,-0.0243,0.9887
0.053,-0.026,0.9989
0.0544,-0.0245,1.0043
0.0532,-0.0262,1.0124
0.0525,-0.027,1.0226
0.051,-0.025,1.0307
0.0486,-0.0253,1.0358
0.0466,-0.0221,1.0402
0.0454,-0.0201,1.0476
0.0476,-0.0233,1.0507
0.0547,-0.0226,1.0515
0.0627,-0.0197,1.0422
0.0771,-0.0162,1.0378
0.0617,-0.0192,1.0554
0.0573,-0.0167,1.0681
0.0593,-0.0123,1.0644
0.0705,-0.0079,1.0578
0.074,-0.0077,1.0566
0.0837,-0.0067,1.0546
0.0876,-0.0079,1.0527
0.0913,-0.0086,1.0542
0.0906,-0.0064,1.052
0.0913,-0.0072,1.0466
0.0923,-0.0077,1.0446
0.0949,-0.0055,1.0368
0.0935,-0.0074,1.03
0.0879,-0.0079,1.017
0.0881,-0.005,1.0033
0.0864,-0.0077,0.9897
0.0876,-0.0067,0.9828
0.0835,-0.0069,0.977
0.0808,-0.0074,0.9681
0.0783,-0.0101,0.9618
0.073,-0.0111,0.9562
0.0691,-0.0138,0.9501
0.0671,-0.0182,0.9425
0.0657,-0.0223,0.9376
0.0598,-0.026,0.9318
0.0554,-0.028,0.9291
0.0559,-0.0328,0.9301
0.0569,-0.0407,0.9323
0.0561,-0.0468,0.9366
0.052,-0.0509,0.943
0.053,-0.0543,0.9479
0.0532,-0.0604,0.9557
0.0525,-0.0634,0.9659
0.0547,-0.0638,0.973
0.0534,-0.066,0.9782
0.0569,-0.0656,0.9872
0.0571,-0.068,0.9923
0.0598,-0.0687,0.997
0.061,-0.0653,1.0038
0.0625,-0.0663,1.0099
0.0649,-0.0641,1.0124
0.0647,-0.0636,1.0199
0.0669,-0.0621,1.0234
0.0669,-0.0592,1.0248
0.0664,-0.0534,1.0278
0.0615,-0.0541,1.0297
0.0652,-0.0504,1.0341
0.0654,-0.0458,1.0385
0.0642,-0.046,1.0388
0.0649,-0.0394,1.0393
0.0608,-0.0409,1.0405
0.0622,-0.0387,1.0405
0.062,-0.0365,1.0376
0.0583,-0.0353,1.0368
0.0613,-0.0321,1.0368
0.0573,-0.0324,1.0304
0.0554,-0.0284,1.0268
0.0552,-0.0275,1.0221
0.0503,-0.028,1.0177
0.051,-0.0277,1.0151
0.0488,-0.0299,1.0138
0.0473,-0.0292,1.0109
0.0434,-0.0275,1.0094
0.0466,-0.026,1.0092
0.0427,-0.0253,1.0087
0.0402,-0.028,1.0072
0.0429,-0.0248,1.0068
0.0427,-0.0277,1.0019
0.0427,-0.0275,0.998
0.0392,-0.025,0.9945
0.0405,-0.0233,0.9931
0.0407,-0.028,0.9943
0.0383,-0.0287,0.9914
0.0397,-0.025,0.9904
0.0383,-0.0243,0.9904
0.0417,-0.0192,0.9865
0.041,-0.0243,0.9887
0.0434,-0.0226,0.9902
0.0402,-0.0189,0.9899
0.042,-0.017,0.9943
0.0439,-0.0145,0.9926
0.042,-0.0162,0.9923
0.0434,-0.0167,0.9919
0.0451,-0.0155,0.9992
0.0473,-0.0128,0.9989
0.0481,-0.013,1.0021
0.0481,-0.0175,1.0058
0.05,-0.0165,1.0058
0.0478,-0.0125,1.0075
0.0473,-0.013,1.0072
0.0476,-0.0162,1.0055
0.053,-0.013,1.0102
0.052,-0.0133,1.0107
0.0481,-0.0113,1.006
0.0456,-0.014,1.0055
0.0468,-0.0123,1.0058
0.0442,-0.0145,1.0085
0.0447,-0.0153,1.0065
0.0437,-0.0165,1.0041
0.0375,-0.0165,1.0065
0.0392,-0.015,1.0087
0.0427,-0.0147,1.0143
0.0493,-0.0153,1.0204
0.0429,-0.0138,1.0231
0.0392,-0.0175,1.0224
0.039,-0.0155,1.0238
0.0414,-0.0179,1.0219
0.0442,-0.0194,1.0221
0.041,-0.0172,1.026
0.0486,-0.0165,1.026
0.0495,-0.0145,1.0234
0.0495,-0.014,1.0212
0.0459,-0.0153,1.0173
0.0449,-0.0145,1.0119
0.0495,-0.015,1.0119
0.0549,-0.0116,1.0129
0.0564,-0.0101,1.0158
0.0583,-0.0103,1.0168
0.0559,-0.0111,1.0102
0.0544,-0.0113,1.0043
0.0566,-0.0128,0.9936
0.0549,-0.0108,0.9884
0.0515,-0.014,0.984
0.052,-0.0143,0.9767
0.0512,-0.0155,0.9753
0.0527,-0.0192,0.9733
0.0522,-0.0192,0.9713
0.0556,-0.0201,0.974
0.0552,-0.0248,0.9794
0.0527,-0.0297,0.984
0.0515,-0.0292,0.9916
0.0554,-0.0306,0.995
0.0561,-0.0358,0.998
0.0561,-0.0363,1.0016
0.0544,-0.0367,1.0009
0.0539,-0.0365,1.0019
0.0549,-0.0394,1.0041
0.0544,-0.0372,1.0055
0.0534,-0.0382,1.0004
0.0539,-0.0382,1.0033
0.0559,-0.0411,1.0011
0.0569,-0.0389,1.0014
0.052,-0.0372,1.0002
0.0542,-0.0372,0.9997
0.0583,-0.0402,1.0038
0.0578,-0.0375,1.0075
0.0588,-0.0338,1.0094
0.0605,-0.0348,1.0136
0.062,-0.0372,1.0185
0.062,-0.036,1.0224
0.0605,-0.0387,1.0278
0.063,-0.0404,1.0319
0.0659,-0.0385,1.0339
0.063,-0.038,1.0405
0.0649,-0.0345,1.0432
0.0649,-0.0382,1.0441
0.0649,-0.0372,1.0395
0.0657,-0.035,1.038
0.0639,-0.0316,1.0371
0.0642,-0.027,1.0327
0.0644,-0.0294,1.0273
0.0647,-0.0314,1.0202
0.0642,-0.0302,1.0131
0.0605,-0.0304,1.0107
0.063,-0.0289,1.0068
0.063,-0.0277,1.0046
0.0615,-0.0267,1.0016
0.0586,-0.0255,1.0053
0.0588,-0.0253,1.0048
0.0561,-0.0284,1.0046
0.0581,-0.0282,1.0033
0.0578,-0.0304,1.006
0.0595,-0.0311,1.005
0.0593,-0.0306,1.0036
0.0588,-0.0319,1.0033
0.0605,-0.0341,0.9992
0.0593,-0.0348,1.0009
0.0613,-0.035,1.0046
0.0591,-0.0387,1.0024
0.0581,-0.0424,0.9955
0.0591,-0.0433,0.9899
0.0573,-0.0409,0.9806
0.0603,-0.0448,0.9735
0.061,-0.046,0.9689
0.0649,-0.047,0.9689
0.0657,-0.0526,0.9708
0.0657,-0.0524,0.9767
0.0661,-0.0558,0.9828
0.0659,-0.0602,0.9892
0.0625,-0.0614,1.0009
0.0635,-0.0604,1.0131
0.0649,-0.0638,1.0216
0.0644,-0.0646,1.0258
0.0608,-0.0643,1.0304
0.0637,-0.0646,1.0319
0.063,-0.0641,1.0273
0.0593,-0.0641,1.0241
0.0578,-0.0602,1.017
0.0559,-0.0577,1.0138
0.0561,-0.0546,1.007
0.0539,-0.0538,1.0058
0.0498,-0.0529,1.0055
0.051,-0.0509,1.0077
0.051,-0.0502,1.0136
0.0515,-0.0463,1.0129
0.0508,-0.0443,1.0182
0.05,-0.0458,1.0192
0.049,-0.0453,1.019
0.0478,-0.0448,1.0192
0.0476,-0.0465,1.0141
0.0468,-0.0414,1.0114
0.0459,-0.0436,1.0092
0.0422,-0.0455,1.0087
0.0405,-0.0429,1.0072
0.0397,-0.0446,1.006
0.0402,-0.0441,1.007
0.0449,-0.0458,1.0085
0.0427,-0.0475,1.0063
0.0429,-0.047,1.005
0.0417,-0.0441,1.0021
0.0425,-0.0499,1.0031
0.0437,-0.0502,1.0002
0.0466,-0.0492,0.9987
0.0486,-0.0504,0.9999
0.0468,-0.0509,0.9994
0.05,-0.0524,1.0033
0.0476,-0.0531,1.0043
0.0517,-0.0526,1.0063
0.0515,-0.047,1.0082
0.0539,-0.0458,1.0087
0.0554,-0.0433,1.0099
0.0581,-0.0436,1.0082
0.0561,-0.0404,1.0119
0.0564,-0.0304,1.0102
0.0603,-0.0287,1.0094
0.0598,-0.0214,1.0097
0.0637,-0.0199,1.0109
0.0681,-0.0182,1.0102
0.0661,-0.016,1.0102
0.0659,-0.0153,1.0136
0.0686,-0.015,1.0148
0.0722,-0.0099,1.0212
0.0713,-0.0084,1.0195
0.0722,-0.0052,1.0187
0.0737,-0.0086,1.0168
0.0764,-0.0072,1.0175
0.0766,-0.0108,1.0177
0.0774,-0.0101,1.018
0.0776,-0.0106,1.0177
0.0735,-0.0106,1.0155
0.0761,-0.0096,1.0165
0.0752,-0.0118,1.0148
0.0737,-0.0113,1.0133
0.072,-0.0125,1.0151
0.0713,-0.0125,1.0141
0.0698,-0.0125,1.0138
0.0686,-0.0113,1.0143
0.0671,-0.0145,1.0131
0.0674,-0.0182,1.0119
0.0654,-0.0199,1.0099
0.062,-0.0209,1.009
0.0613,-0.0192,1.0075
0.0632,-0.0206,1.005
0.0603,-0.0216,1.0053
0.0591,-0.0233,1.0055
0.0569,-0.0243,1.0048
0.0591,-0.0255,1.0026
0.0564,-0.0272,1.0065
0.0515,-0.0243,1.005
0.0522,-0.0231,1.0038
0.0525,-0.0223,1.0036
0.0537,-0.0238,1.0046
0.0556,-0.0231,1.0043
0.0522,-0.0221,1.0016
0.0495,-0.0209,1.0009
0.0512,-0.0194,1.0016
0.0576,-0.0194,1.0014
0.0549,-0.0189,0.9992
0.053,-0.0179,0.9987
0.0537,-0.0189,0.9928
0.0552,-0.0175,1.0004
0.062,-0.0172,0.9948
0.052,-0.0231,1.0058
0.0481,-0.0184,1.0133
0.0486,-0.0165,1.0133
0.0508,-0.0145,1.0082
0.0534,-0.0172,1.0102
0.0537,-0.0157,1.0097
0.0532,-0.0147,1.0075
0.0552,-0.0157,1.0075
0.0505,-0.0189,1.0055
0.0512,-0.017,1.0048
0.0532,-0.0175,1.005
0.051,-0.0197,1.0107
0.0549,-0.0165,1.0085
0.0532,-0.0189,1.0109
0.0564,-0.0184,1.0131
0.0564,-0.0194,1.0124
0.0576,-0.0204,1.0168
0.0566,-0.0209,1.0175
0.0608,-0.0216,1.0197
0.0581,-0.0216,1.0187
0.0617,-0.0204,1.019
0.0588,-0.0211,1.0207
0.0569,-0.0197,1.0209
0.0583,-0.0206,1.0207
0.0603,-0.0184,1.0212
0.06,-0.0223,1.0207
0.0617,-0.0199,1.0207
0.0796,-0.0153,1.0031
0.0659,-0.0223,1.0097
0.0549,-0.0231,1.0312
0.0508,-0.0219,1.0383
0.0515,-0.0187,1.0263
0.0561,-0.0172,1.0221
0.0547,-0.0214,1.0221
0.0554,-0.0184,1.0168
0.0544,-0.017,1.0124
0.0571,-0.015,1.0173
0.0559,-0.015,1.0182
0.0527,-0.0128,1.0202
0.0549,-0.0133,1.0229
0.0542,-0.0175,1.0214
0.0547,-0.0179,1.0214
0.0503,-0.0189,1.0219
0.0539,-0.0162,1.0192
0.0515,-0.015,1.0165
0.0581,-0.0133,1.006
0.0522,-0.0167,1.0121
0.0451,-0.0177,1.0158
0.0324,-0.0189,1.0129
0.0395,-0.0162,1.0048
0.0515,-0.0157,1.0021
0.0571,-0.0121,1.006
0.0547,-0.0106,1.0033
0.0532,-0.0116,1.0019
0.0552,-0.0089,1.0031
0.0512,-0.0113,1.0077
0.0478,-0.0096,1.0099
0.0478,-0.0094,1.0109
0.0476,-0.0108,1.0143
0.0483,-0.013,1.0138
0.0464,-0.013,1.0129
0.0461,-0.0187,1.0153
0.0456,-0.0184,1.0182
0.0414,-0.0165,1.017
0.0464,-0.0184,1.016
0.042,-0.0219,1.0185
0.029,-0.0262,1.0126
0.0368,-0.0282,1.0129
0.0556,-0.0245,1.0182
0.0591,-0.0228,1.0212
0.0583,-0.0187,1.0199
0.053,-0.015,1.0182
0.049,-0.0108,1.0187
0.0466,-0.0096,1.0199
0.0459,-0.0094,1.0234
0.0468,-0.0128,1.0207
0.0478,-0.014,1.0221
0.0481,-0.0157,1.0212
0.0498,-0.015,1.019
0.0473,-0.0157,1.0197
0.0476,-0.013,1.0207
0.05,-0.0145,1.0182
0.0483,-0.0153,1.017
0.0473,-0.0135,1.0168
0.0483,-0.0103,1.0195
0.049,-0.0113,1.016
0.0444,-0.0101,1.0124
0.0241,-0.0116,1.0087
0.03,-0.0111,1.0112
0.0547,-0.0086,1.0153
0.0652,-0.0091,1.0165
0.0691,-0.0057,1.0143
0.0652,-0.0052,1.0116
0.0627,-0.003,1.0099
0.0576,-0.0016,1.009
0.0569,-0.003,1.0082
0.0583,-0.004,1.0068
0.0566,-0.0025,1.0046
0.0561,-0.0045,1.0048
0.0578,-0.002,1.0053
0.0593,-0.0035,1.005
0.0593,0.0006,1.0068
0.0566,0.0019,1.0065
0.0544,-0.002,1.0075
0.0586,-0.0013,1.0038
0.0578,-0.0016,1.0033
0.0576,-0.0018,1.0055
0.0598,-0.0035,1.0033
0.0578,-0.005,1.0036
0.0588,-0.0003,1.0026
0.0564,-0.0008,1.0024
0.0544,0.0009,0.9997
0.0508,-0.0008,1.0031
0.0573,0.0016,1.0011
0.0537,0.0026,1.0019
0.0547,0.0067,1.0019
0.0549,0.006,1.0031
0.0542,0.0075,1.0019
0.0534,0.0067,1.0021
0.051,0.0082,1.0019
0.0525,0.0119,1.0021
0.0542,0.0114,1.0014
0.0527,0.0116,1.0009
0.0532,0.0128,1.0043
0.0554,0.0121,1.0016
0.0522,0.0089,1.0021
0.0544,0.007,1.0014
0.0539,0.0116,1.0041
0.0544,0.0087,1.0065
0.0539,0.0124,1.008
0.0552,0.0124,1.0033
0.0586,0.0107,1.0033
0.0552,0.0104,1.0019
0.0556,0.0116,1.0016
0.0576,0.008,1.0038
0.0549,0.0107,1.0053
0.0537,0.0107,1.005
0.0556,0.0114,1.0033
0.0522,0.0114,1.0028
0.0544,0.0119,1.0016
0.0549,0.0119,1.0019
0.0544,0.0124,1.0036
0.0561,0.0109,1.0053
0.0571,0.0111,1.0043
0.0566,0.0075,1.0011
0.0549,0.0063,0.9997
0.0564,0.0094,1.0002
0.0576,0.0099,1.0014
0.0559,0.0116,1.0028
0.0564,0.0092,1.0016
0.0556,0.0131,1.0009
0.0534,0.0126,1.0007
0.0534,0.0133,0.9975
0.0542,0.0119,1.0004
0.0576,0.0102,1.0002
0.0549,0.0104,1.0014
0.0525,0.0087,1.0007
0.0542,0.0092,0.9987
0.0539,0.0087,1.0009
0.0542,0.0045,1.0004
0.0559,0.0041,0.9997
0.0537,0.0082,1.0004
0.0554,0.0131,1.0002
0.0556,0.0104,1.0036
0.0552,0.0099,1.0026
0.0566,0.0107,1.0028
0.0542,0.0141,1.0031
0.053,0.0116,1.0053
0.0547,0.0138,1.0026
0.0578,0.0128,1.0053
0.0564,0.0116,1.0053
0.0544,0.0114,1.0033
0.0552,0.0165,1.0007
0.0542,0.0141,1.0014
0.0512,0.0172,0.9994
0.0554,0.0177,1.0026
0.0559,0.0143,1.0033
0.0515,0.015,1.0019
0.0532,0.0177,1.0026
0.0495,0.0153,1.0014
0.0537,0.0165,1.0007
0.0468,0.0182,1.0028
0.0498,0.0194,1.0024
0.049,0.0204,1.0007
0.0493,0.018,1.0011
0.0488,0.0194,1.0024
0.0478,0.0207,1.0002
0.049,0.0194,1.0028
0.0486,0.0194,1.0028
0.0483,0.0231,1.0014
0.0483,0.0229,1.0036
0.0456,0.0224,1.0043
0.0478,0.0216,1.0019
0.0486,0.0226,1.0007
0.0486,0.0194,1.0014
0.0493,0.0199,1.0004
0.0498,0.0202,1.0004
0.0473,0.0175,1.0002
0.0505,0.0212,0.9992
0.052,0.0214,0.9987
0.05,0.0187,0.9975
0.052,0.0221,0.9985
0.0495,0.0219,0.9975
0.0476,0.0238,1.0007
0.0488,0.0231,1.0009
0.0503,0.0258,1.0002
0.0515,0.028,0.9994
0.0486,0.0243,1.0016
0.0505,0.0268,0.9997
0.0505,0.0292,1.0024
0.0508,0.0277,1.0026
0.0505,0.027,0.9994
0.0532,0.0282,1.0009
0.0542,0.0287,1.0048
0.0525,0.0295,1.0041
0.0508,0.0314,1.007
0.0515,0.0324,1.0087
0.052,0.0297,1.0085
0.0542,0.0299,1.0104
0.0512,0.0295,1.0124
0.0498,0.0304,1.0112
0.049,0.0326,1.0104
0.0498,0.0307,1.0107
0.051,0.0341,1.0107
0.0534,0.0316,1.0104
0.0534,0.0334,1.009
0.0537,0.0329,1.006
0.0534,0.0324,1.0075
0.0522,0.0351,1.0055
0.0522,0.0314,1.0087
0.0539,0.0297,1.0087
0.0544,0.0297,1.0124
0.0552,0.0312,1.0146
0.0569,0.0321,1.0107
0.0554,0.0282,1.0109
0.0522,0.027,1.0082
0.0571,0.0314,1.009
0.0532,0.0341,1.0102
0.0539,0.0312,1.0104
0.0532,0.0312,1.0107
0.0532,0.0314,1.0092
0.0493,0.029,1.0038
0.0385,0.0241,1.0007
0.0422,0.0221,0.9938
0.0547,0.0214,0.9906
0.0542,0.0238,0.9923
0.0617,0.0268,0.9899
0.0591,0.0321,0.9919
0.06,0.0346,0.9894
0.0549,0.0407,0.9894
0.0566,0.0395,0.9904
0.0578,0.0387,0.9926
0.0559,0.037,0.996
0.0595,0.0358,1.0016
0.0605,0.0368,1.0085
0.061,0.0312,1.0133
0.0576,0.0304,1.016
0.0581,0.0297,1.0151
0.0547,0.0319,1.0124
0.0552,0.0324,1.0092
0.0544,0.0302,1.0028
0.0566,0.0297,0.9994
0.0525,0.0295,0.996
0.0498,0.0312,0.9933
0.0534,0.0321,0.9963
0.0549,0.029,0.998
0.0552,0.0297,1.0007
0.0556,0.0263,1.0021
0.0583,0.0273,1.0036
0.0537,0.0275,1.0031
0.0532,0.0299,1.0036
0.0532,0.0297,1.0033
0.0525,0.0287,1.0028
0.0473,0.0251,1.0007
0.053,0.0243,1.0004
0.05,0.029,0.9977
0.0515,0.0302,0.9967
0.0505,0.0275,0.9972
0.0544,0.0251,0.9972
0.0522,0.0275,0.9977
0.0534,0.0292,0.9994
0.0522,0.0287,1.0024
0.0549,0.0263,1.006
0.0547,0.0258,1.0085
0.052,0.0285,1.0107
0.0532,0.0253,1.0114
0.0534,0.0275,1.0109
0.053,0.0268,1.0129
0.0559,0.0246,1.0131
0.0537,0.0224,1.0131
0.0515,0.0233,1.0116
0.051,0.0241,1.0102
0.0512,0.0243,1.0082
0.0522,0.0263,1.0068
0.052,0.0238,1.0053
0.0512,0.027,1.0055
0.051,0.0277,1.0033
0.0549,0.029,1.0028
0.0522,0.0277,1.0016
0.0508,0.0275,1.0028
0.053,0.0273,1.0026
0.0517,0.0319,1.0048
0.052,0.0307,1.0055
0.0534,0.0309,1.0072
0.0525,0.0329,1.0082
0.0522,0.0314,1.007
0.0525,0.0275,1.006
0.051,0.0263,1.0043
0.051,0.0277,1.0028
0.0508,0.0307,1.0048
0.0488,0.0299,1.0033
0.0503,0.029,1.0004
0.0495,0.0273,1.0021
0.049,0.029,0.9987
0.0503,0.0285,0.9975
0.0486,0.0277,0.996
0.0473,0.0277,0.995
0.0473,0.0263,0.9994
0.0503,0.026,0.9953
0.0483,0.0255,0.9977
0.0461,0.0263,0.997
0.0476,0.0226,1.0007
0.0456,0.0212,0.9997
0.0454,0.0233,0.9994
0.0476,0.0236,1.0004
0.0454,0.0243,0.9977
0.0447,0.0241,1.0009
0.0464,0.0224,0.9992
0.0503,0.0219,1.0011
0.0454,0.0204,1.0021
0.0478,0.0231,1.0016
0.0459,0.0258,1.0011
0.0486,0.0238,1.0048
0.0503,0.0233,1.0038
0.0473,0.0241,1.0028
0.0481,0.0243,1.0021
0.049,0.0265,1.0009
0.049,0.0268,1.0043
0.0522,0.0282,1.0028
0.0515,0.0287,1.0038
0.052,0.027,1.0041
0.05,0.027,1.0019
0.0495,0.0273,1.0036
0.0473,0.0265,1.0033
0.0488,0.0255,1.0028
0.0493,0.0297,1.0048
0.0522,0.0312,1.0033
0.0508,0.0309,1.0053
0.053,0.0309,1.0053
0.0512,0.029,1.0058
0.0517,0.0282,1.0068
0.0515,0.029,1.0046
0.0508,0.0282,1.008
0.052,0.0277,1.006
0.052,0.0287,1.007
0.0517,0.0268,1.0068
0.053,0.0299,1.0058
0.0544,0.0265,1.007
0.0547,0.026,1.0075
0.0552,0.0292,1.0072
