gFx,gFy,gFz
-0.0328,0.6925,0.7331
-0.0318,0.691,0.7317
-0.0328,0.6915,0.7275
-0.0311,0.6915,0.7263
-0.0326,0.6935,0.7253
-0.0333,0.692,0.7246
-0.0313,0.6903,0.7246
-0.0301,0.6905,0.7236
-0.0301,0.6922,0.7243
-0.0296,0.6893,0.7256
-0.0299,0.6922,0.727
-0.0282,0.6922,0.7283
-0.025,0.6903,0.7253
-0.0287,0.6871,0.7261
-0.0252,0.6874,0.7265
-0.0211,0.6837,0.7305
-0.026,0.6837,0.7317
-0.0218,0.6805,0.7322
-0.0226,0.6808,0.7336
-0.0243,0.681,0.7366
-0.0228,0.6793,0.7405
-0.0235,0.6805,0.7412
-0.0228,0.6791,0.7429
-0.0211,0.6744,0.7459
-0.0201,0.6749,0.7483
-0.0196,0.6764,0.7478
-0.0199,0.6761,0.7498
-0.0228,0.6769,0.7493
-0.0186,0.6778,0.7525
-0.0199,0.6786,0.7493
-0.0184,0.6776,0.7495
-0.0189,0.6825,0.7478
-0.0191,0.6803,0.7466
-0.0186,0.6822,0.7459
-0.0196,0.6822,0.7451
-0.0167,0.6808,0.7441
-0.0172,0.6832,0.7468
-0.0226,0.6827,0.74
-0.0255,0.6844,0.7405
-0.0248,0.6874,0.7366
-0.0213,0.6856,0.7334
-0.0228,0.6864,0.7312
-0.024,0.6891,0.7317
-0.0221,0.6871,0.729
-0.0238,0.6893,0.7295
-0.0257,0.69,0.7285
-0.0257,0.6888,0.7268
-0.0272,0.6888,0.7243
-0.0282,0.6927,0.7253
-0.0296,0.6937,0.7248
-0.0262,0.6908,0.7265
-0.0272,0.6927,0.7217
-0.025,0.6939,0.7231
-0.0262,0.6925,0.7231
-0.023,0.6939,0.7251
-0.0235,0.6918,0.727
-0.024,0.6913,0.7263
-0.0248,0.6898,0.7285
-0.025,0.6896,0.7305
-0.0218,0.6871,0.7307
-0.024,0.6859,0.7329
-0.0265,0.6852,0.7297
-0.0248,0.6864,0.7331
-0.0211,0.6864,0.7334
-0.0235,0.6844,0.7378
-0.0208,0.6837,0.7373
-0.0233,0.6837,0.7358
-0.0221,0.6856,0.7348
-0.0235,0.6839,0.7344
-0.0201,0.6839,0.7392
-0.0218,0.6849,0.7383
-0.0211,0.6813,0.7353
-0.0296,0.6864,0.7378
-0.0274,0.6822,0.7339
-0.0262,0.6827,0.7348
-0.0277,0.69,0.7314
-0.0284,0.6876,0.729
-0.0274,0.6852,0.7305
-0.0274,0.6898,0.7312
-0.0301,0.6881,0.7307
-0.0296,0.6847,0.7314
-0.0252,0.6876,0.7322
-0.0321,0.6866,0.7329
-0.0294,0.683,0.7336
-0.0289,0.6866,0.7341
-0.0299,0.6871,0.7336
-0.0287,0.6847,0.7353
-0.0335,0.6883,0.7312
-0.0318,0.6844,0.7283
-0.0326,0.6847,0.7275
-0.034,0.6839,0.7263
-0.0321,0.6842,0.7253
-0.0323,0.6817,0.7234
-0.0313,0.6825,0.7219
-0.0318,0.6859,0.7214
-0.0301,0.6837,0.7224
-0.0326,0.6859,0.7204
-0.0328,0.6803,0.7185
-0.0287,0.6827,0.7185
-0.0289,0.6859,0.7226
-0.0245,0.6849,0.7185
-0.0235,0.6881,0.7182
-0.0248,0.6847,0.7173
-0.025,0.6878,0.7168
-0.024,0.6859,0.7156
-0.0262,0.6864,0.7192
-0.0213,0.6852,0.7192
-0.0238,0.6854,0.7202
-0.0221,0.6849,0.7229
-0.0262,0.6876,0.7226
-0.024,0.6871,0.7251
-0.0255,0.6825,0.7261
-0.0262,0.6813,0.7287
-0.0269,0.6786,0.7336
-0.0252,0.6778,0.7366
-0.0265,0.6803,0.7441
-0.0235,0.6798,0.7453
-0.0235,0.681,0.7495
-0.0201,0.6798,0.7542
-0.0186,0.6793,0.7556
-0.0226,0.6766,0.7627
-0.0213,0.6781,0.7642
-0.0206,0.6786,0.7666
-0.016,0.6786,0.7666
-0.0169,0.6793,0.7681
-0.0189,0.6788,0.7703
-0.0186,0.683,0.7654
-0.0177,0.6832,0.7647
-0.0196,0.6874,0.7649
-0.0189,0.6903,0.7608
-0.0189,0.6881,0.7554
-0.0165,0.6918,0.7522
-0.0128,0.6944,0.7449
-0.0115,0.6954,0.7424
-0.0174,0.6922,0.7414
-0.0137,0.6939,0.7339
-0.0154,0.6981,0.7309
-0.0177,0.6998,0.7297
-0.0184,0.6998,0.7275
-0.0204,0.701,0.7256
-0.0194,0.7023,0.7204
-0.024,0.7005,0.7207
-0.0226,0.702,0.7202
-0.0223,0.7008,0.7168
-0.0248,0.6979,0.7185
-0.0201,0.7005,0.718
-0.0208,0.6949,0.7187
-0.0243,0.6969,0.7217
-0.0223,0.6969,0.7197
-0.0221,0.6937,0.7246
-0.0252,0.6891,0.7263
-0.0226,0.6932,0.7265
-0.0257,0.6896,0.73
-0.0235,0.6883,0.7329
-0.0233,0.6849,0.7336
-0.0243,0.6876,0.7375
-0.0211,0.6861,0.7366
-0.0211,0.6859,0.7402
-0.0252,0.6844,0.7419
-0.026,0.68,0.7451
-0.0262,0.6817,0.7451
-0.0265,0.6798,0.7453
-0.0257,0.6795,0.7459
-0.0265,0.6786,0.7464
-0.0262,0.6783,0.7466
-0.0248,0.6808,0.7456
-0.0279,0.6822,0.7471
-0.0269,0.6793,0.7476
-0.0277,0.6791,0.7449
-0.0284,0.6778,0.7449
-0.0306,0.6813,0.7444
-0.0289,0.6837,0.7407
-0.0318,0.6842,0.737
-0.0306,0.6854,0.7361
-0.0306,0.6864,0.7383
-0.0287,0.6856,0.729
-0.0294,0.6864,0.7297
-0.0282,0.6864,0.7275
-0.0299,0.6903,0.7261
-0.0296,0.6935,0.7251
-0.0309,0.6864,0.7231
-0.0306,0.6898,0.7214
-0.0269,0.6871,0.7185
-0.0311,0.6905,0.7187
-0.0309,0.6925,0.719
-0.0311,0.6905,0.7195
-0.0311,0.6891,0.7158
-0.0306,0.6903,0.718
-0.0318,0.6908,0.7197
-0.0323,0.693,0.7236
-0.0311,0.6905,0.7231
-0.0326,0.6869,0.7224
-0.0306,0.6913,0.727
-0.036,0.692,0.7261
-0.0326,0.6922,0.73
-0.0343,0.692,0.7305
-0.0343,0.6913,0.7319
-0.0345,0.6922,0.7331
-0.0333,0.6925,0.7329
-0.0318,0.692,0.7346
-0.0323,0.692,0.7322
-0.0311,0.6905,0.7341
-0.0318,0.6898,0.7339
-0.0291,0.6922,0.7329
-0.0296,0.6925,0.7326
-0.0316,0.6898,0.7292
-0.0282,0.69,0.7309
-0.0277,0.6922,0.7326
-0.0321,0.6922,0.728
-0.0299,0.6927,0.7287
-0.0289,0.693,0.7285
-0.0299,0.693,0.728
-0.0287,0.69,0.7258
-0.0291,0.693,0.7239
-0.0265,0.6908,0.7231
-0.0269,0.6876,0.7258
-0.0287,0.6886,0.727
-0.026,0.6869,0.7253
-0.0269,0.6893,0.7243
-0.0267,0.6832,0.7251
-0.0243,0.6859,0.7268
-0.0274,0.6871,0.7275
-0.025,0.6918,0.7285
-0.026,0.6898,0.7309
-0.0235,0.6935,0.7285
-0.0223,0.69,0.7283
-0.0211,0.6888,0.7305
-0.0213,0.6869,0.7312
-0.0243,0.6883,0.7326
-0.0252,0.6883,0.7319
-0.0252,0.6925,0.7341
-0.0238,0.6918,0.7334
-0.0226,0.6888,0.7326
-0.0216,0.6888,0.7312
-0.0265,0.691,0.7324
-0.0233,0.6913,0.7358
-0.0255,0.6883,0.7344
-0.0235,0.6891,0.7373
-0.0235,0.6905,0.7358
-0.0238,0.6915,0.7356
-0.024,0.6918,0.7373
-0.0213,0.6891,0.7348
-0.0223,0.6903,0.7346
-0.0238,0.6881,0.7341
-0.0255,0.6886,0.7363
-0.0211,0.6888,0.737
-0.0245,0.691,0.737
-0.0233,0.6859,0.7392
-0.0206,0.6844,0.7388
-0.0196,0.6859,0.7368
-0.0213,0.6864,0.7356
-0.0218,0.6871,0.7385
-0.0189,0.6891,0.7368
-0.0184,0.69,0.7348
-0.0201,0.6886,0.7358
-0.0204,0.6869,0.7344
-0.0169,0.6874,0.7324
-0.0206,0.6898,0.7305
-0.0167,0.692,0.7309
-0.0174,0.6898,0.7275
-0.0194,0.6922,0.7261
-0.0182,0.691,0.727
-0.0194,0.692,0.7295
-0.0196,0.6939,0.7268
-0.0172,0.6979,0.7256
-0.0154,0.6961,0.7292
-0.0128,0.6949,0.7278
-0.0098,0.6944,0.728
-0.0123,0.6966,0.73
-0.0101,0.6939,0.7322
-0.013,0.693,0.7317
-0.012,0.6925,0.7319
-0.0128,0.6974,0.7334
-0.012,0.6942,0.7312
-0.011,0.6959,0.7309
-0.0152,0.6932,0.7324
-0.015,0.6957,0.7314
-0.0184,0.6964,0.7317
-0.0204,0.6925,0.727
-0.0221,0.6886,0.7283
-0.0223,0.6942,0.7265
-0.0233,0.6922,0.7229
-0.0233,0.6903,0.7231
-0.0216,0.6939,0.7241
-0.0223,0.6961,0.7243
-0.023,0.6918,0.7214
-0.024,0.6925,0.7226
-0.0274,0.6937,0.7197
-0.025,0.6913,0.7207
-0.0267,0.6888,0.7165
-0.025,0.6915,0.7134
-0.0255,0.6925,0.7121
-0.0284,0.6925,0.7143
-0.0274,0.6903,0.7112
-0.0294,0.6927,0.7134
-0.0284,0.6952,0.7136
-0.0294,0.6932,0.7136
-0.0296,0.6942,0.7165
-0.0274,0.6935,0.7163
-0.025,0.6935,0.7182
-0.0269,0.6942,0.7207
-0.0252,0.6939,0.7197
-0.0252,0.6927,0.7241
-0.0267,0.6939,0.7207
-0.0245,0.6944,0.7212
-0.0272,0.6925,0.7224
-0.0274,0.6935,0.7234
-0.0279,0.693,0.7253
-0.0272,0.6966,0.7265
-0.0294,0.6944,0.7239
-0.0272,0.6971,0.7246
-0.0299,0.6939,0.7261
-0.0267,0.6957,0.727
-0.026,0.6969,0.7278
-0.0272,0.6954,0.7334
-0.0262,0.6954,0.7319
-0.0233,0.6957,0.7353
-0.0272,0.6944,0.7341
-0.0272,0.6932,0.7324
-0.0262,0.6908,0.7341
-0.0235,0.6893,0.7302
-0.0223,0.6891,0.7309
-0.024,0.6903,0.73
-0.0243,0.6896,0.7278
-0.0252,0.6905,0.73
-0.0245,0.6878,0.7285
-0.025,0.6918,0.728
-0.0265,0.6903,0.7275
-0.025,0.6891,0.7251
-0.0272,0.69,0.7239
-0.026,0.691,0.7246
-0.0252,0.6898,0.7222
-0.0265,0.6881,0.7217
-0.0265,0.6922,0.7212
-0.0269,0.6925,0.7195
-0.0279,0.6883,0.7192
-0.0287,0.693,0.7168
-0.0299,0.6935,0.7165
-0.0272,0.6937,0.7185
-0.0294,0.6932,0.7178
-0.0309,0.693,0.716
-0.0291,0.6949,0.718
-0.0291,0.6944,0.7195
-0.0284,0.6922,0.7209
-0.0284,0.6961,0.72
-0.0294,0.6949,0.72
-0.026,0.6952,0.7202
-0.0255,0.6947,0.7226
-0.0238,0.6903,0.7278
-0.0238,0.6903,0.7278
-0.0235,0.6905,0.7312
-0.025,0.6898,0.7287
-0.0235,0.6888,0.7319
-0.0221,0.6864,0.7351
-0.0228,0.6888,0.7353
-0.0223,0.6874,0.7356
-0.0243,0.6878,0.7373
-0.0216,0.6854,0.7392
-0.0211,0.6864,0.7373
-0.0172,0.6957,0.7375
-0.0223,0.6896,0.7392
-0.0262,0.6822,0.737
-0.0255,0.6805,0.7346
-0.026,0.682,0.7307
-0.0223,0.6908,0.7324
-0.0235,0.6854,0.7331
-0.0216,0.6896,0.7341
-0.0257,0.6918,0.729
-0.0248,0.6883,0.727
-0.023,0.6891,0.728
-0.0221,0.6896,0.7261
-0.0206,0.6908,0.7263
-0.0211,0.6888,0.7278
-0.0184,0.692,0.73
-0.0194,0.6932,0.7307
-0.0191,0.6935,0.7341
-0.0172,0.6935,0.7334
-0.0177,0.6913,0.7309
-0.016,0.6937,0.7295
-0.0182,0.6922,0.7317
-0.0172,0.6942,0.7339
-0.0182,0.6915,0.7307
-0.016,0.693,0.7278
-0.0179,0.6932,0.729
-0.0154,0.6947,0.7265
-0.0147,0.693,0.7268
-0.0167,0.6966,0.7226
-0.0172,0.6974,0.7234
-0.0177,0.6964,0.7234
-0.0172,0.6954,0.7253
-0.0177,0.6947,0.7219
-0.0162,0.6932,0.7265
-0.0165,0.6949,0.7261
-0.0182,0.6959,0.7263
-0.0204,0.693,0.7263
-0.0208,0.6964,0.7265
-0.0182,0.6971,0.7251
-0.0199,0.6944,0.7265
-0.0211,0.6947,0.7253
