gFx,gFy,gFz
-0.047,0.9373,0.3374
-0.0482,0.939,0.3362
-0.0487,0.9382,0.3388
-0.0472,0.9368,0.3401
-0.0482,0.9377,0.3418
-0.0501,0.937,0.3445
-0.0506,0.9412,0.3474
-0.0519,0.9402,0.3484
-0.0538,0.9365,0.3474
-0.0504,0.9385,0.3499
-0.0516,0.9356,0.3513
-0.0511,0.9375,0.3525
-0.0519,0.9373,0.3472
-0.0536,0.937,0.3474
-0.0521,0.9392,0.3472
-0.0475,0.9395,0.3464
-0.0526,0.9358,0.346
-0.0506,0.9368,0.3481
-0.047,0.9377,0.3467
-0.0477,0.9404,0.3455
-0.0472,0.9412,0.3445
-0.0467,0.9363,0.345
-0.0487,0.9353,0.3447
-0.0477,0.9351,0.3479
-0.0484,0.9368,0.3474
-0.0467,0.9353,0.3467
-0.0453,0.9309,0.3467
-0.0475,0.9356,0.3472
-0.0467,0.9331,0.3457
-0.0467,0.9309,0.345
-0.0467,0.9326,0.3467
-0.0445,0.9365,0.3469
-0.0458,0.9375,0.3474
-0.0431,0.9336,0.3467
-0.0431,0.9377,0.3489
-0.0455,0.9392,0.3479
-0.0445,0.9329,0.3464
-0.0414,0.937,0.346
-0.0458,0.9351,0.3481
-0.0431,0.9365,0.3489
-0.0421,0.9404,0.3467
-0.0431,0.9382,0.3467
-0.0438,0.9377,0.3484
-0.0406,0.9353,0.3484
-0.044,0.9356,0.3499
-0.0428,0.9373,0.3508
-0.0455,0.9348,0.3494
-0.0465,0.9368,0.3501
-0.0426,0.936,0.3501
-0.0458,0.9348,0.3494
-0.0492,0.938,0.3518
-0.046,0.9387,0.3525
-0.0455,0.939,0.3521
-0.0458,0.9404,0.3525
-0.0455,0.9395,0.3533
-0.0462,0.9397,0.3523
-0.0487,0.9407,0.353
-0.0484,0.938,0.3521
-0.0514,0.9385,0.3525
-0.0448,0.9424,0.3516
-0.0472,0.9409,0.3499
-0.0482,0.9429,0.3503
-0.0477,0.9404,0.3521
-0.0465,0.9412,0.3518
-0.0489,0.9434,0.3518
-0.0506,0.9421,0.3528
-0.0501,0.9426,0.3518
-0.0497,0.9399,0.355
-0.0489,0.9397,0.3538
-0.0482,0.939,0.354
-0.0465,0.9399,0.354
-0.0472,0.9387,0.353
-0.0467,0.9377,0.3506
-0.0462,0.9343,0.3523
-0.0445,0.9331,0.3525
-0.0455,0.9365,0.3518
-0.0433,0.9368,0.3511
-0.0477,0.9397,0.3501
-0.0465,0.9392,0.3484
-0.0436,0.9363,0.3496
-0.0472,0.939,0.3494
-0.0426,0.9407,0.3486
-0.0396,0.939,0.3499
-0.0409,0.937,0.3503
-0.0414,0.9346,0.3506
-0.0436,0.9377,0.3506
-0.0436,0.938,0.3503
-0.0404,0.9338,0.3484
-0.0416,0.9365,0.3503
-0.0423,0.9341,0.3518
-0.0423,0.9319,0.3511
-0.0433,0.9348,0.3516
-0.0436,0.9302,0.3508
-0.0479,0.9282,0.3508
-0.047,0.9307,0.353
-0.0465,0.9316,0.3535
-0.0436,0.9309,0.3547
-0.0467,0.9321,0.3562
-0.045,0.9331,0.354
-0.0475,0.9319,0.3545
-0.0494,0.9316,0.3572
-0.0475,0.9338,0.3567
-0.0509,0.9321,0.3552
-0.0492,0.9326,0.356
-0.047,0.9336,0.3547
-0.0521,0.936,0.3543
-0.0487,0.9348,0.3535
-0.0453,0.9363,0.3567
-0.0462,0.9331,0.3552
-0.0462,0.9368,0.3565
-0.0499,0.9356,0.3533
-0.0472,0.9326,0.3538
-0.0484,0.936,0.3565
-0.0482,0.938,0.3567
-0.0462,0.9397,0.3545
-0.0479,0.9365,0.3545
-0.0458,0.9404,0.3543
-0.0455,0.9385,0.3545
-0.0448,0.9397,0.353
-0.0458,0.9365,0.3525
-0.0453,0.9399,0.3518
-0.0443,0.9363,0.3552
-0.0438,0.9377,0.3535
-0.0428,0.9392,0.3494
-0.0431,0.9402,0.3503
-0.0438,0.9375,0.3496
-0.0433,0.9377,0.3525
-0.0426,0.9419,0.3513
-0.0462,0.9392,0.355
-0.044,0.9382,0.3516
-0.045,0.9373,0.3523
-0.0453,0.9377,0.3501
-0.0428,0.9368,0.3511
-0.0421,0.9353,0.3506
-0.0433,0.9385,0.3491
-0.0426,0.9368,0.3494
-0.0458,0.9385,0.3489
-0.0445,0.938,0.3494
-0.0455,0.9402,0.3477
-0.0436,0.9395,0.3511
-0.0479,0.9417,0.3503
-0.0492,0.9395,0.3479
-0.0497,0.938,0.3491
-0.0472,0.9377,0.3496
-0.047,0.9373,0.3499
-0.0484,0.938,0.3491
-0.0509,0.9385,0.3511
-0.0467,0.9377,0.3489
-0.0499,0.939,0.3496
-0.0497,0.9404,0.3489
-0.0516,0.936,0.3501
-0.0492,0.938,0.3503
-0.0487,0.9368,0.3513
-0.0489,0.9363,0.3496
-0.0499,0.9382,0.3521
-0.0511,0.9346,0.3523
-0.0514,0.9385,0.354
-0.0492,0.9382,0.3543
-0.0489,0.9392,0.3574
-0.0489,0.9385,0.3567
-0.0475,0.9399,0.3565
-0.0497,0.9365,0.3577
-0.0479,0.9395,0.3579
-0.0467,0.9417,0.3555
-0.0438,0.938,0.3555
-0.0423,0.9402,0.354
-0.0443,0.9431,0.3543
-0.0423,0.9439,0.3533
-0.0421,0.9451,0.3513
-0.0411,0.9431,0.3511
-0.0401,0.9421,0.3494
-0.0401,0.9431,0.3489
-0.0372,0.9434,0.3494
-0.0414,0.9431,0.3499
-0.0414,0.9436,0.3508
-0.0365,0.9429,0.3501
-0.0401,0.9395,0.3525
-0.0414,0.9419,0.3538
-0.0428,0.9392,0.3535
-0.0423,0.9395,0.3543
-0.0418,0.938,0.354
-0.0401,0.9392,0.354
-0.0445,0.9377,0.3533
-0.0414,0.938,0.3543
-0.0438,0.937,0.3516
-0.0431,0.9348,0.3523
-0.0445,0.9358,0.3508
-0.0431,0.937,0.3486
-0.0467,0.9348,0.3503
-0.0443,0.9373,0.3513
-0.0479,0.9387,0.3506
-0.0453,0.9375,0.3501
-0.0465,0.938,0.3494
-0.044,0.938,0.3499
-0.0475,0.9377,0.3506
-0.047,0.9385,0.3489
-0.0458,0.9397,0.3464
-0.0467,0.939,0.3472
-0.045,0.9407,0.3477
-0.047,0.9431,0.3477
-0.0484,0.9424,0.344
-0.0477,0.9429,0.3457
-0.0453,0.9421,0.346
-0.0436,0.9429,0.345
-0.0448,0.9443,0.345
-0.0436,0.9439,0.346
-0.0418,0.9395,0.3457
-0.0462,0.9417,0.3452
-0.0455,0.9409,0.3491
-0.0458,0.9424,0.3491
-0.0467,0.9397,0.3501
-0.0458,0.9358,0.3518
-0.0477,0.938,0.3538
-0.0467,0.9382,0.3501
-0.0472,0.9331,0.3525
-0.0465,0.9343,0.355
-0.0494,0.9353,0.3538
-0.0506,0.9348,0.3528
-0.047,0.9329,0.354
-0.0482,0.9319,0.3528
-0.0492,0.9341,0.3511
-0.0484,0.9309,0.3552
-0.0497,0.9341,0.3545
-0.0489,0.9316,0.3545
-0.0487,0.9287,0.3557
-0.0504,0.9299,0.354
-0.0509,0.9302,0.3547
-0.0504,0.9329,0.354
-0.0536,0.9287,0.3533
-0.0494,0.9282,0.3555
-0.0499,0.9334,0.3533
-0.0511,0.9346,0.3552
-0.0499,0.9326,0.3547
-0.0484,0.9307,0.355
-0.0497,0.9331,0.3516
-0.0487,0.9321,0.3538
-0.0499,0.9338,0.3521
-0.0514,0.9373,0.354
-0.0482,0.9341,0.353
-0.0482,0.9356,0.3525
-0.0494,0.9351,0.3501
-0.0467,0.937,0.3486
-0.0462,0.9392,0.3467
-0.0475,0.9399,0.3462
-0.0531,0.9431,0.3445
-0.0531,0.9456,0.3445
-0.0541,0.9397,0.3442
-0.0523,0.9409,0.3437
-0.0545,0.9402,0.3445
-0.0543,0.9409,0.3452
-0.0555,0.9404,0.3452
-0.0548,0.9387,0.3455
-0.0523,0.9397,0.3455
-0.0497,0.9409,0.3472
-0.0509,0.9453,0.3445
-0.0479,0.9463,0.3435
-0.0487,0.9395,0.345
-0.0511,0.9424,0.341
-0.0497,0.9417,0.3437
-0.0499,0.9439,0.3452
-0.0533,0.9421,0.3437
-0.0523,0.9414,0.3435
-0.0494,0.9414,0.3418
-0.0497,0.9441,0.345
-0.0499,0.9436,0.3445
-0.0448,0.9436,0.344
-0.0465,0.9439,0.3442
-0.0445,0.9419,0.3464
-0.0428,0.9412,0.3472
-0.0409,0.9404,0.346
-0.0396,0.938,0.3469
-0.0399,0.9397,0.3469
-0.0394,0.9385,0.3501
-0.037,0.9356,0.3494
-0.037,0.9336,0.3477
-0.0355,0.9343,0.3481
-0.0353,0.9348,0.3464
-0.0323,0.9368,0.3479
-0.0331,0.9341,0.3467
-0.0345,0.9312,0.3462
-0.0333,0.929,0.3486
-0.0333,0.9324,0.3477
-0.0323,0.9316,0.3479
-0.0289,0.9351,0.3496
-0.0301,0.9316,0.3474
-0.0326,0.9331,0.3469
-0.0284,0.9363,0.3467
-0.0289,0.9356,0.3467
-0.0323,0.9331,0.3491
-0.0313,0.9358,0.3489
-0.0331,0.9329,0.3477
-0.0331,0.9312,0.3477
-0.0343,0.9334,0.3481
-0.0365,0.9348,0.3494
-0.0387,0.9346,0.3503
-0.0379,0.9351,0.3518
-0.0448,0.9373,0.3545
-0.0428,0.9363,0.3511
-0.0448,0.9368,0.3513
-0.0436,0.9395,0.3499
-0.0467,0.9387,0.3499
-0.0465,0.9382,0.3516
-0.0453,0.9397,0.3499
-0.044,0.9409,0.3477
-0.046,0.948,0.3599
-0.0443,0.9561,0.3691
-0.0453,0.9546,0.3731
-0.0428,0.9539,0.3762
-0.045,0.9565,0.3731
-0.0465,0.9539,0.3709
-0.047,0.9495,0.3648
-0.0453,0.9475,0.3557
-0.0489,0.9446,0.343
-0.0509,0.938,0.3357
-0.0504,0.9412,0.3325
-0.0499,0.9421,0.3276
-0.0523,0.939,0.3232
-0.0492,0.9304,0.3186
-0.0519,0.9324,0.3134
-0.0533,0.9351,0.3142
-0.0558,0.938,0.3188
-0.0597,0.9373,0.3244
-0.0599,0.9395,0.3301
-0.0553,0.9451,0.3388
-0.0558,0.9431,0.3442
-0.0521,0.9463,0.3523
-0.0533,0.9456,0.3596
-0.0506,0.9504,0.363
-0.0531,0.9492,0.3687
-0.0545,0.9504,0.3721
-0.0528,0.9463,0.3726
-0.0528,0.9509,0.3728
-0.0548,0.949,0.367
-0.0536,0.947,0.3638
-0.0509,0.9439,0.3606
-0.0531,0.9414,0.3586
-0.0499,0.9426,0.3545
-0.0479,0.9419,0.3462
-0.0497,0.9395,0.3445
-0.047,0.938,0.3452
-0.0477,0.937,0.345
-0.046,0.9338,0.3469
-0.0484,0.936,0.3455
-0.0506,0.937,0.3491
-0.0509,0.9348,0.3511
-0.0462,0.9321,0.3521
-0.0472,0.9321,0.353
-0.0477,0.9346,0.3518
-0.0462,0.9334,0.3538
-0.0455,0.9368,0.3538
-0.0462,0.9363,0.354
-0.0484,0.9375,0.3533
-0.0487,0.938,0.3547
-0.0448,0.9375,0.3516
-0.0431,0.938,0.3508
-0.0431,0.9385,0.3503
-0.0426,0.9373,0.3513
-0.0445,0.9346,0.3503
-0.0426,0.9351,0.3499
-0.0443,0.937,0.3477
-0.0428,0.9348,0.3486
-0.0448,0.9368,0.3464
-0.0436,0.9368,0.3435
