time,gFx,gFy,gFz,TgF
0.003380782,0.0427,-0.0453,0.9694,0.971
0.003949844,0.0442,-0.0475,0.9794,0.982
0.00433698,0.0378,-0.0438,0.9911,0.993
0.004733907,0.0380,-0.0468,0.9965,0.998
0.005088386,0.0373,-0.0433,0.9997,1.001
0.005431459,0.0371,-0.0343,0.9987,1.000
0.005770469,0.0288,-0.0358,0.9623,0.963
0.006175886,0.0251,-0.0306,0.9985,0.999
0.010041094,0.0275,-0.0311,1.0224,1.023
0.010766146,0.0268,-0.0355,1.0268,1.028
0.015323073,0.0266,-0.0343,1.0278,1.029
0.016241511,0.0185,-0.0394,1.0270,1.028
0.017273907,0.0146,-0.0399,1.0234,1.024
0.021912761,0.0148,-0.0460,1.0187,1.020
0.0223425,0.0146,-0.0490,1.0141,1.015
0.023482605,0.0148,-0.0509,1.0133,1.015
0.030191146,0.0124,-0.0546,1.0094,1.011
0.045162865,0.0129,-0.0587,1.0077,1.010
0.047193698,0.0168,-0.0660,1.0050,1.007
0.04808474,0.0158,-0.0673,1.0046,1.007
0.04895073,0.0175,-0.0685,1.0016,1.004
0.049724844,0.0244,-0.0746,0.9999,1.003
0.050761771,0.0197,-0.0744,1.0019,1.005
0.051380573,0.0244,-0.0739,1.0009,1.004
0.051976303,0.0258,-0.0758,1.0019,1.005
0.066007605,0.0288,-0.0766,1.0033,1.007
0.067251875,0.0314,-0.0758,1.0050,1.008
0.067996667,0.0324,-0.0722,1.0046,1.008
0.06874099,0.0363,-0.0682,1.0041,1.007
0.069429271,0.0371,-0.0673,1.0026,1.006
0.070054271,0.0363,-0.0668,1.0014,1.004
0.070743021,0.0368,-0.0614,1.0028,1.005
0.071408073,0.0356,-0.0536,1.0043,1.006
0.072040105,0.0309,-0.0546,1.0028,1.005
0.07277375,0.0331,-0.0472,0.9985,1.000
0.073439584,0.0290,-0.0441,0.9992,1.001
0.074074584,0.0278,-0.0402,0.9982,0.999
0.076958021,0.0268,-0.0363,0.9987,1.000
0.077620209,0.0297,-0.0365,0.9989,1.000
0.082837865,0.0285,-0.0341,0.9963,0.997
0.083363073,0.0297,-0.0321,0.9933,0.994
0.085397292,0.0312,-0.0341,0.9955,0.997
0.094778907,0.0317,-0.0336,0.9938,0.995
0.095858178,0.0322,-0.0336,0.9943,0.995
0.096782136,0.0312,-0.0355,0.9921,0.993
0.097538334,0.0319,-0.0358,0.9938,0.995
0.098436094,0.0280,-0.0348,0.9982,0.999
0.099081094,0.0309,-0.0392,0.9965,0.998
0.101843073,0.0283,-0.0421,0.9982,0.999
0.105743855,0.0261,-0.0441,1.0002,1.001
0.10659349,0.0273,-0.0455,1.0048,1.006
0.108070157,0.0273,-0.0504,1.0070,1.009
0.110582605,0.0275,-0.0531,1.0104,1.012
0.112846198,0.0248,-0.0558,1.0109,1.013
0.115489323,0.0226,-0.0575,1.0151,1.017
0.117741771,0.0248,-0.0590,1.0160,1.018
0.119910834,0.0273,-0.0629,1.0214,1.024
0.122646667,0.0261,-0.0697,1.0216,1.024
0.124676355,0.0266,-0.0707,1.0209,1.024
0.127876928,0.0300,-0.0670,1.0226,1.025
0.129598907,0.0285,-0.0707,1.0221,1.025
0.13180323,0.0312,-0.0665,1.0236,1.026
0.134387084,0.0341,-0.0680,1.0221,1.025
0.141171459,0.0344,-0.0653,1.0209,1.024
0.142561407,0.0349,-0.0670,1.0158,1.019
0.143445365,0.0327,-0.0638,1.0133,1.016
0.144150313,0.0331,-0.0614,1.0092,1.012
0.150076042,0.0366,-0.0629,1.0092,1.012
0.151309532,0.0339,-0.0617,1.0048,1.007
0.152181302,0.0341,-0.0597,1.0060,1.008
0.153029948,0.0329,-0.0577,1.0038,1.006
0.155614844,0.0373,-0.0580,1.0046,1.007
0.157639792,0.0402,-0.0560,1.0058,1.008
0.162562136,0.0373,-0.0541,1.0055,1.008
0.163409844,0.0361,-0.0529,1.0085,1.010
0.164837344,0.0383,-0.0538,1.0072,1.009
0.167057657,0.0429,-0.0524,1.0080,1.010
0.1692325,0.0392,-0.0521,1.0092,1.011
0.171466615,0.0437,-0.0541,1.0080,1.010
0.173887917,0.0454,-0.0521,1.0065,1.009
0.176629688,0.0439,-0.0551,1.0075,1.010
0.178912136,0.0442,-0.0524,1.0055,1.008
0.181156875,0.0420,-0.0490,1.0048,1.007
0.183533438,0.0417,-0.0485,1.0036,1.006
0.192886927,0.0429,-0.0472,0.9992,1.001
0.194243594,0.0414,-0.0470,0.9945,0.997
0.195078907,0.0385,-0.0499,0.9906,0.993
0.19583349,0.0392,-0.0502,0.9889,0.991
0.19657724,0.0378,-0.0487,0.9887,0.991
0.199122188,0.0336,-0.0514,0.9916,0.994
0.200282448,0.0307,-0.0521,0.9953,0.997
0.205403438,0.0334,-0.0529,0.9994,1.001
0.206258021,0.0324,-0.0553,1.0063,1.008
0.206935521,0.0322,-0.0543,1.0114,1.013
0.20982573,0.0331,-0.0565,1.0151,1.017
0.211378334,0.0278,-0.0555,1.0258,1.028
0.213828646,0.0280,-0.0543,1.0304,1.032
0.216191042,0.0290,-0.0538,1.0278,1.030
0.218967344,0.0292,-0.0536,1.0268,1.029
0.220925,0.0297,-0.0534,1.0265,1.028
0.223660782,0.0266,-0.0519,1.0209,1.023
0.232653282,0.0246,-0.0531,1.0151,1.017
0.233868959,0.0275,-0.0524,1.0112,1.013
0.234916719,0.0253,-0.0482,1.0046,1.006
0.236103907,0.0256,-0.0526,1.0041,1.006
0.237017032,0.0275,-0.0565,1.0033,1.005
0.23796974,0.0270,-0.0526,1.0048,1.007
0.240908021,0.0302,-0.0538,1.0053,1.007
0.242597032,0.0371,-0.0555,1.0080,1.010
0.247158386,0.0371,-0.0534,1.0116,1.014
0.24805448,0.0425,-0.0573,1.0131,1.016
0.249432188,0.0422,-0.0553,1.0168,1.019
0.25277,0.0447,-0.0531,1.0224,1.025
0.253824219,0.0375,-0.0541,1.0199,1.022
0.256066823,0.0395,-0.0575,1.0190,1.021
0.264993073,0.0351,-0.0575,1.0133,1.016
0.26603974,0.0375,-0.0563,1.0116,1.014
0.267429219,0.0383,-0.0563,1.0097,1.012
0.268075625,0.0405,-0.0575,1.0087,1.011
0.26871474,0.0380,-0.0555,1.0119,1.014
0.273332292,0.0363,-0.0558,1.0102,1.012
0.274378698,0.0375,-0.0543,1.0090,1.011
0.275157292,0.0373,-0.0529,1.0090,1.011
0.280585157,0.0344,-0.0531,1.0068,1.009
0.28139625,0.0302,-0.0526,1.0094,1.011
0.282068177,0.0270,-0.0492,1.0092,1.011
0.289275157,0.0231,-0.0477,1.0080,1.009
0.290490209,0.0207,-0.0504,1.0097,1.011
0.291377605,0.0209,-0.0470,1.0114,1.013
0.291975209,0.0248,-0.0494,1.0077,1.009
0.297500521,0.0292,-0.0499,1.0068,1.008
0.298581407,0.0248,-0.0485,1.0050,1.007
0.29933224,0.0275,-0.0465,1.0041,1.006
0.301197396,0.0273,-0.0490,0.9987,1.000
0.303229844,0.0270,-0.0504,0.9994,1.001
0.305430313,0.0280,-0.0487,1.0014,1.003
0.307922032,0.0297,-0.0502,0.9987,1.000
0.310485105,0.0322,-0.0487,1.0004,1.002
0.312664063,0.0280,-0.0460,0.9997,1.001
0.315232552,0.0263,-0.0458,1.0004,1.002
0.31777849,0.0312,-0.0487,1.0019,1.004
0.320700573,0.0302,-0.0502,1.0043,1.006
0.321948334,0.0266,-0.0475,1.0085,1.010
0.324455834,0.0256,-0.0482,1.0085,1.010
0.326689375,0.0292,-0.0529,1.0085,1.010
0.328999844,0.0251,-0.0497,1.0143,1.016
0.331360782,0.0231,-0.0529,1.0136,1.015
0.334063907,0.0224,-0.0499,1.0143,1.016
0.336005938,0.0229,-0.0543,1.0158,1.017
0.338492552,0.0214,-0.0546,1.0175,1.019
0.340649844,0.0251,-0.0524,1.0160,1.018
0.343103073,0.0251,-0.0529,1.0180,1.020
0.345530209,0.0253,-0.0536,1.0195,1.021
0.347707761,0.0256,-0.0534,1.0163,1.018
0.350785261,0.0322,-0.0563,1.0177,1.020
0.352628021,0.0351,-0.0536,1.0209,1.023
0.355081563,0.0314,-0.0529,1.0170,1.019
0.357563698,0.0305,-0.0534,1.0185,1.020
0.367428959,0.0380,-0.0570,1.0133,1.016
0.369108125,0.0346,-0.0553,1.0153,1.017
0.370339375,0.0331,-0.0512,1.0136,1.015
0.371130469,0.0390,-0.0529,1.0107,1.013
0.371887032,0.0329,-0.0570,1.0090,1.011
0.372654532,0.0317,-0.0534,1.0043,1.006
0.373675625,0.0314,-0.0546,0.9989,1.001
0.382206042,0.0314,-0.0519,1.0019,1.004
0.383609219,0.0324,-0.0543,0.9970,0.999
0.384415,0.0297,-0.0575,0.9970,0.999
0.385198959,0.0305,-0.0538,0.9963,0.998
0.386088021,0.0305,-0.0546,0.9965,0.998
0.387631667,0.0305,-0.0548,0.9975,0.999
0.389968282,0.0314,-0.0551,0.9965,0.999
0.398619323,0.0256,-0.0563,0.9965,0.998
0.400138594,0.0300,-0.0529,0.9972,0.999
0.400801927,0.0312,-0.0551,0.9958,0.998
0.401444792,0.0258,-0.0531,0.9987,1.000
0.402168438,0.0258,-0.0538,0.9989,1.001
0.404020573,0.0236,-0.0536,1.0002,1.002
0.406616719,0.0236,-0.0531,1.0031,1.005
0.408730886,0.0244,-0.0526,1.0046,1.006
0.411358177,0.0253,-0.0587,1.0063,1.008
0.413405365,0.0266,-0.0573,1.0038,1.006
0.41677224,0.0251,-0.0548,1.0060,1.008
0.418227865,0.0246,-0.0538,1.0050,1.007
0.420417552,0.0292,-0.0543,1.0031,1.005
0.422962969,0.0275,-0.0565,1.0075,1.009
0.425234948,0.0297,-0.0563,1.0080,1.010
0.427787344,0.0241,-0.0570,1.0116,1.014
0.430456198,0.0297,-0.0582,1.0146,1.017
0.433727761,0.0317,-0.0565,1.0133,1.015
0.435618229,0.0314,-0.0580,1.0148,1.017
0.436909115,0.0297,-0.0597,1.0185,1.021
0.43984849,0.0329,-0.0599,1.0153,1.018
0.447506042,0.0288,-0.0580,1.0146,1.017
0.448856459,0.0290,-0.0577,1.0133,1.015
0.449701615,0.0300,-0.0565,1.0102,1.012
0.450491094,0.0288,-0.0541,1.0087,1.011
0.451110157,0.0268,-0.0531,1.0102,1.012
0.455163907,0.0292,-0.0490,1.0080,1.010
0.456027396,0.0280,-0.0546,1.0055,1.007
0.457935573,0.0292,-0.0534,1.0063,1.008
0.460672032,0.0219,-0.0499,1.0031,1.005
0.462842396,0.0234,-0.0504,1.0021,1.004
0.465949896,0.0266,-0.0487,0.9985,1.000
0.467357188,0.0251,-0.0463,0.9980,0.999
0.469707917,0.0246,-0.0453,0.9938,0.995
0.47221474,0.0241,-0.0460,0.9948,0.996
0.47521599,0.0268,-0.0494,0.9977,0.999
0.477772761,0.0253,-0.0438,0.9970,0.998
0.479228021,0.0268,-0.0455,1.0002,1.002
0.489991875,0.0283,-0.0453,1.0024,1.004
0.491372136,0.0246,-0.0485,1.0024,1.004
0.492070104,0.0244,-0.0475,1.0031,1.005
0.492734532,0.0266,-0.0494,1.0070,1.009
0.493393334,0.0290,-0.0480,1.0090,1.011
0.494049688,0.0268,-0.0519,1.0082,1.010
0.495498021,0.0244,-0.0492,1.0121,1.014
0.498339479,0.0280,-0.0490,1.0109,1.012
0.507310052,0.0261,-0.0502,1.0102,1.012
0.508240365,0.0283,-0.0512,1.0097,1.011
0.508849115,0.0251,-0.0487,1.0112,1.013
0.509463907,0.0248,-0.0521,1.0143,1.016
0.510691407,0.0236,-0.0521,1.0165,1.018
0.512176094,0.0253,-0.0560,1.0138,1.016
0.516508282,0.0248,-0.0531,1.0163,1.018
0.517512813,0.0239,-0.0541,1.0190,1.021
0.519122552,0.0241,-0.0534,1.0177,1.019
0.521895573,0.0231,-0.0538,1.0155,1.017
0.524390104,0.0187,-0.0548,1.0170,1.019
0.526358854,0.0207,-0.0575,1.0163,1.018
0.528464323,0.0209,-0.0543,1.0131,1.015
0.531299479,0.0168,-0.0512,1.0114,1.013
0.537933698,0.0163,-0.0514,1.0050,1.006
0.539443334,0.0156,-0.0512,1.0002,1.002
0.540140209,0.0163,-0.0497,0.9950,0.996
0.540784844,0.0197,-0.0458,0.9950,0.996
0.547456719,0.0185,-0.0480,0.9938,0.995
0.548517969,0.0156,-0.0463,0.9928,0.994
0.549332709,0.0192,-0.0458,0.9916,0.993
0.550075261,0.0204,-0.0446,0.9928,0.994
0.552312604,0.0219,-0.0477,0.9975,0.999
0.554631667,0.0200,-0.0470,0.9992,1.000
0.557230104,0.0204,-0.0463,1.0009,1.002
0.559092292,0.0195,-0.0475,1.0055,1.007
0.561933386,0.0202,-0.0438,1.0068,1.008
0.563607084,0.0204,-0.0487,1.0075,1.009
0.56594099,0.0192,-0.0497,1.0060,1.007
0.568385677,0.0178,-0.0507,1.0090,1.010
0.570799011,0.0204,-0.0504,1.0119,1.013
0.573873646,0.0195,-0.0514,1.0126,1.014
0.575533177,0.0185,-0.0543,1.0121,1.014
0.577749896,0.0173,-0.0490,1.0124,1.014
0.58057125,0.0190,-0.0531,1.0114,1.013
0.582835313,0.0200,-0.0614,1.0094,1.012
0.58486974,0.0168,-0.0866,0.9555,0.960
0.587176198,0.0258,-0.0504,0.9701,0.972
0.597659792,0.0158,-0.0546,1.0229,1.024
0.599350834,-0.0023,-0.0494,1.0346,1.036
0.600097865,0.0021,-0.0382,1.0148,1.016
0.601163698,0.0187,-0.0443,1.0026,1.004
0.602019375,0.0363,-0.0519,1.0148,1.017
0.602899584,0.0410,-0.0470,1.0119,1.014
0.603665781,0.0300,-0.0450,1.0141,1.016
0.607084636,0.0241,-0.0502,1.0072,1.009
0.608387761,0.0229,-0.0458,1.0068,1.008
0.611152136,0.0312,-0.0509,1.0197,1.021
0.613138125,0.0383,-0.0531,1.0204,1.023
0.615718073,0.0341,-0.0529,1.0168,1.019
0.617777188,0.0195,-0.0253,1.0133,1.014
0.620028698,0.0336,-0.0020,1.0490,1.050
0.623728125,0.0542,-0.0575,1.0561,1.059
0.624866719,0.0512,-0.0680,1.0063,1.010
0.627205573,0.0336,-0.0516,1.0041,1.006
0.630451146,0.0268,-0.0436,1.0148,1.016
0.639115625,0.0339,-0.0538,1.0141,1.016
0.640304479,0.0371,-0.0568,1.0046,1.007
0.641185052,0.0305,-0.0524,1.0060,1.008
0.642059479,0.0183,-0.0399,1.0160,1.017
0.643459844,0.0209,-0.0402,1.0148,1.016
0.644499375,0.0261,-0.0424,1.0129,1.014
0.646190209,0.0212,-0.0429,1.0129,1.014
0.656530104,0.0139,-0.0338,1.0158,1.016
0.657822344,0.0139,-0.0370,1.0160,1.017
0.658814115,0.0187,-0.0372,1.0153,1.016
0.65976875,0.0195,-0.0338,1.0168,1.018
0.660362188,0.0214,-0.0343,1.0170,1.018
0.660920781,0.0244,-0.0382,1.0138,1.015
0.662475938,0.0300,-0.0382,1.0092,1.010
0.665355104,0.0307,-0.0385,1.0129,1.014
0.666882344,0.0261,-0.0399,1.0114,1.013
0.669438073,0.0322,-0.0372,1.0065,1.008
0.672734219,0.0297,-0.0480,1.0028,1.004
0.674554636,0.0314,-0.0497,0.9965,0.998
0.676261927,0.0366,-0.0497,1.0070,1.009
0.678602396,0.0297,-0.0463,0.9992,1.001
0.681022761,0.0378,-0.0421,1.0033,1.005
0.683614792,0.0366,-0.0526,1.0182,1.020
0.68590375,0.0366,-0.0448,0.9992,1.001
0.688383698,0.0414,-0.0455,1.0014,1.003
0.697117813,0.0380,-0.0497,1.0143,1.016
0.699207865,0.0407,-0.0560,1.0155,1.018
0.700562084,0.0380,-0.0543,1.0031,1.005
0.701354271,0.0383,-0.0472,0.9982,1.000
0.70227849,0.0410,-0.0441,1.0038,1.006
0.703164323,0.0405,-0.0453,1.0068,1.009
0.704846771,0.0422,-0.0487,1.0038,1.006
0.711682552,0.0429,-0.0507,1.0038,1.006
0.712778802,0.0375,-0.0497,1.0063,1.008
0.713417761,0.0358,-0.0463,1.0053,1.007
0.714315104,0.0378,-0.0458,1.0048,1.007
0.721155781,0.0344,-0.0446,1.0033,1.005
0.722265365,0.0285,-0.0438,0.9994,1.001
0.722861511,0.0241,-0.0382,0.9992,1.000
0.72340349,0.0200,-0.0372,1.0033,1.004
0.725495052,0.0187,-0.0336,1.0014,1.002
0.728136302,0.0209,-0.0345,1.0021,1.003
0.731086302,0.0253,-0.0341,1.0063,1.007
0.732740834,0.0239,-0.0341,1.0072,1.008
0.735035052,0.0217,-0.0353,1.0112,1.012
0.737797292,0.0214,-0.0350,1.0121,1.013
0.744231042,0.0217,-0.0353,1.0131,1.014
0.745143334,0.0202,-0.0375,1.0107,1.012
0.745812917,0.0231,-0.0385,1.0138,1.015
0.746941563,0.0209,-0.0372,1.0124,1.013
