time,gFx,gFy,gFz,TgF
3.384103749,0.0273,0.7562,0.6347,0.988
3.38530953,0.0268,0.7587,0.6340,0.989
3.385786717,0.0268,0.7616,0.6379,0.994
3.386322551,0.0280,0.7667,0.6384,0.998
3.386722811,0.0290,0.7638,0.6403,0.997
3.388753436,0.0305,0.7636,0.6435,0.999
3.389964217,0.0280,0.7650,0.6435,1.000
3.394958957,0.0302,0.7677,0.6440,1.003
3.39537828,0.0266,0.7670,0.6479,1.004
3.398780728,0.0207,0.7675,0.6459,1.003
3.399300676,0.0253,0.7682,0.6469,1.005
3.402026092,0.0209,0.7704,0.6472,1.006
3.403959217,0.0236,0.7697,0.6450,1.004
3.407562082,0.0258,0.7697,0.6462,1.005
3.40893578,0.0217,0.7692,0.6489,1.007
3.411101509,0.0226,0.7685,0.6520,1.008
3.415232811,0.0224,0.7680,0.6530,1.008
3.415773801,0.0207,0.7653,0.6550,1.008
3.418485519,0.0200,0.7660,0.6569,1.009
3.420785207,0.0234,0.7621,0.6613,1.009
3.423589217,0.0248,0.7631,0.6628,1.011
3.425606613,0.0275,0.7606,0.6643,1.010
3.427547707,0.0309,0.7567,0.6669,1.009
3.430015988,0.0305,0.7536,0.6730,1.011
3.432306926,0.0309,0.7531,0.6726,1.010
3.434761092,0.0312,0.7501,0.6755,1.010
3.437284269,0.0314,0.7509,0.6738,1.009
3.43946078,0.0339,0.7475,0.6723,1.006
3.442289686,0.0353,0.7460,0.6752,1.007
3.444093488,0.0363,0.7477,0.6750,1.008
3.447923697,0.0341,0.7462,0.6752,1.007
3.448903957,0.0349,0.7450,0.6772,1.007
3.451202551,0.0361,0.7421,0.6726,1.002
3.454144947,0.0329,0.7423,0.6726,1.002
3.456259269,0.0349,0.7443,0.6708,1.003
3.458284999,0.0334,0.7421,0.6674,0.999
3.460460624,0.0346,0.7479,0.6689,1.004
3.464463697,0.0336,0.7440,0.6672,1.000
3.465433176,0.0327,0.7487,0.6657,1.002
3.467661769,0.0322,0.7438,0.6645,0.998
3.470047655,0.0346,0.7475,0.6628,1.000
3.472751769,0.0361,0.7509,0.6621,1.002
3.474884217,0.0336,0.7516,0.6616,1.002
3.476878644,0.0331,0.7499,0.6643,1.002
3.479497759,0.0378,0.7518,0.6621,1.003
3.482006197,0.0380,0.7518,0.6645,1.004
3.484013436,0.0375,0.7511,0.6638,1.003
3.486343124,0.0405,0.7533,0.6638,1.005
3.489730207,0.0420,0.7533,0.6647,1.006
3.49207953,0.0380,0.7572,0.6628,1.007
3.493412655,0.0397,0.7540,0.6657,1.007
3.495860155,0.0402,0.7567,0.6652,1.008
3.498392915,0.0400,0.7572,0.6625,1.007
3.500415728,0.0388,0.7555,0.6591,1.003
3.502608696,0.0405,0.7580,0.6572,1.004
3.509935571,0.0410,0.7570,0.6535,1.001
3.510554582,0.0402,0.7555,0.6545,1.000
3.51107479,0.0437,0.7570,0.6511,0.999
3.512116926,0.0392,0.7619,0.6520,1.004
3.516003592,0.0427,0.7592,0.6533,1.002
3.516988228,0.0439,0.7597,0.6520,1.002
3.518988124,0.0447,0.7580,0.6540,1.002
3.522028436,0.0429,0.7589,0.6557,1.004
3.523954061,0.0439,0.7580,0.6572,1.004
3.525991353,0.0437,0.7614,0.6594,1.008
3.528960884,0.0437,0.7577,0.6591,1.005
3.530980936,0.0439,0.7531,0.6611,1.003
3.533487603,0.0439,0.7572,0.6621,1.007
3.535571509,0.0420,0.7562,0.6621,1.006
3.539165884,0.0422,0.7518,0.6640,1.004
3.541863644,0.0437,0.7516,0.6638,1.004
3.542605311,0.0402,0.7538,0.6603,1.003
3.545218644,0.0407,0.7509,0.6577,0.999
3.547558749,0.0422,0.7516,0.6596,1.001
3.549768332,0.0439,0.7553,0.6599,1.004
3.552060884,0.0459,0.7509,0.6599,1.001
3.55536354,0.0473,0.7501,0.6594,1.000
3.556753957,0.0459,0.7555,0.6579,1.003
3.559052238,0.0449,0.7518,0.6591,1.001
3.561949321,0.0432,0.7494,0.6601,1.000
3.564421926,0.0434,0.7533,0.6594,1.002
3.566414478,0.0412,0.7543,0.6603,1.003
3.568498436,0.0400,0.7543,0.6586,1.002
3.572372863,0.0361,0.7538,0.6569,1.001
3.573482394,0.0371,0.7575,0.6547,1.002
3.575513905,0.0361,0.7577,0.6538,1.001
3.577964269,0.0373,0.7611,0.6528,1.003
3.580082499,0.0358,0.7621,0.6550,1.006
3.582540571,0.0346,0.7614,0.6555,1.005
3.585413749,0.0329,0.7589,0.6577,1.005
3.588220467,0.0358,0.7577,0.6594,1.005
3.589708905,0.0390,0.7623,0.6591,1.009
3.591854061,0.0368,0.7636,0.6603,1.010
3.594595624,0.0366,0.7636,0.6613,1.011
3.596629738,0.0366,0.7604,0.6606,1.008
3.599034582,0.0373,0.7592,0.6603,1.007
3.601528696,0.0385,0.7572,0.6603,1.005
3.609808749,0.0373,0.7570,0.6603,1.005
3.610617342,0.0375,0.7587,0.6633,1.008
3.611153332,0.0400,0.7582,0.6623,1.008
3.612321874,0.0380,0.7597,0.6664,1.011
3.617656353,0.0388,0.7599,0.6650,1.011
3.618173071,0.0390,0.7609,0.6657,1.012
3.618561092,0.0366,0.7572,0.6677,1.010
3.622336978,0.0353,0.7597,0.6689,1.013
3.622758488,0.0395,0.7570,0.6699,1.012
3.624593801,0.0392,0.7555,0.6682,1.009
3.627084217,0.0378,0.7565,0.6696,1.011
3.629302446,0.0402,0.7540,0.6679,1.008
3.632772551,0.0414,0.7523,0.6699,1.008
3.634354061,0.0434,0.7536,0.6667,1.007
