time,gFx,gFy,gFz,TgF
0.00101401,-0.0763,0.9197,0.3967,1.005
0.001440156,-0.0756,0.9185,0.3928,1.002
0.003614115,-0.0724,0.9219,0.3945,1.005
0.009207708,-0.0761,0.9197,0.3977,1.005
0.009507344,-0.0778,0.9197,0.3977,1.005
0.009678021,-0.0790,0.9175,0.3970,1.003
0.010808229,-0.0761,0.9214,0.3977,1.006
0.013596875,-0.0790,0.9194,0.3984,1.005
0.015901042,-0.0765,0.9214,0.3989,1.007
0.018235365,-0.0763,0.9180,0.3984,1.004
0.02061776,-0.0746,0.9209,0.3955,1.005
0.022521406,-0.0773,0.9216,0.3960,1.006
0.024824896,-0.0743,0.9211,0.3945,1.005
0.027401562,-0.0741,0.9199,0.3938,1.003
0.029640521,-0.0724,0.9246,0.3941,1.008
0.032241354,-0.0761,0.9192,0.3928,1.003
0.034291667,-0.0731,0.9221,0.3931,1.005
0.036867448,-0.0746,0.9258,0.3936,1.009
0.03945724,-0.0736,0.9224,0.3950,1.006
0.041879323,-0.0743,0.9194,0.3945,1.003
0.043927552,-0.0734,0.9236,0.3921,1.006
0.046815833,-0.0721,0.9207,0.3933,1.004
0.049215156,-0.0739,0.9194,0.3933,1.003
0.05176224,-0.0746,0.9224,0.3945,1.006
0.054396354,-0.0721,0.9197,0.3931,1.003
0.0563825,-0.0729,0.9189,0.3919,1.002
0.058070208,-0.0716,0.9202,0.3911,1.002
0.060340156,-0.0711,0.9221,0.3926,1.005
0.063263229,-0.0743,0.9194,0.3928,1.003
0.065793229,-0.0729,0.9202,0.3933,1.003
0.068201823,-0.0721,0.9187,0.3941,1.002
0.070677917,-0.0716,0.9175,0.3911,1.000
0.072967083,-0.0685,0.9189,0.3914,1.001
0.074544583,-0.0724,0.9199,0.3911,1.002
0.076787656,-0.0694,0.9207,0.3897,1.002
0.079725469,-0.0716,0.9189,0.3916,1.001
0.082104635,-0.0709,0.9175,0.3906,1.000
0.084797344,-0.0689,0.9141,0.3911,0.997
