time,gFx,gFy,gFz,TgF
0.066940729,-0.0436,0.9622,0.2636,0.999
0.067739531,-0.0414,0.9651,0.2568,1.000
0.068156927,-0.0404,0.9666,0.2570,1.001
0.073422396,-0.0387,0.9639,0.2597,0.999
0.073893906,-0.0365,0.9663,0.2590,1.001
0.074610521,-0.0389,0.9639,0.2624,1.000
0.076912761,-0.0389,0.9649,0.2624,1.001
0.079176094,-0.0370,0.9610,0.2663,0.998
0.081525052,-0.0360,0.9649,0.2651,1.001
0.084483021,-0.0374,0.9688,0.2599,1.004
0.086678802,-0.0374,0.9661,0.2614,1.002
0.088284011,-0.0365,0.9656,0.2592,1.000
0.090768906,-0.0382,0.9668,0.2643,1.003
0.094086458,-0.0394,0.9641,0.2624,1.000
0.096215938,-0.0362,0.9637,0.2663,1.000
0.099068177,-0.0389,0.9637,0.2678,1.001
0.10117724,-0.0450,0.9624,0.2663,1.000
0.102681615,-0.0438,0.9654,0.2695,1.003
0.10573724,-0.0479,0.9663,0.2773,1.006
0.107275625,-0.0528,0.9641,0.2878,1.008
0.110144271,-0.0528,0.9641,0.2951,1.010
0.11219875,-0.0516,0.9644,0.2998,1.011
0.114091042,-0.0584,0.9617,0.3022,1.010
0.117976146,-0.0592,0.9593,0.3051,1.008
0.118887136,-0.0628,0.9575,0.3056,1.007
0.121211823,-0.0592,0.9578,0.3071,1.008
0.123788386,-0.0577,0.9529,0.3076,1.003
0.132154427,-0.0589,0.9529,0.3069,1.003
0.132971146,-0.0587,0.9487,0.3088,0.999
0.133365781,-0.0572,0.9500,0.3059,1.000
0.134358594,-0.0575,0.9480,0.3032,0.997
0.136252865,-0.0565,0.9451,0.2990,0.993
0.137835469,-0.0558,0.9458,0.2978,0.993
0.140329948,-0.0531,0.9443,0.2959,0.991
0.143169427,-0.0504,0.9419,0.2934,0.988
0.145783125,-0.0511,0.9441,0.2900,0.989
0.148095938,-0.0523,0.9436,0.2917,0.989
0.150629167,-0.0523,0.9446,0.2878,0.989
0.152726927,-0.0514,0.9436,0.2856,0.987
0.154889531,-0.0528,0.9465,0.2844,0.990
0.156797292,-0.0531,0.9482,0.2836,0.991
0.159537761,-0.0526,0.9497,0.2814,0.992
0.162159271,-0.0509,0.9495,0.2812,0.992
0.164784844,-0.0536,0.9497,0.2802,0.992
0.167306875,-0.0562,0.9514,0.2768,0.992
0.169176302,-0.0545,0.9524,0.2780,0.994
0.170787604,-0.0558,0.9526,0.2758,0.993
0.173141146,-0.0567,0.9539,0.2719,0.993
0.181934531,-0.0580,0.9568,0.2700,0.996
0.182983386,-0.0597,0.9583,0.2687,0.997
0.183491458,-0.0592,0.9565,0.2692,0.995
0.183996771,-0.0582,0.9561,0.2692,0.995
0.184845729,-0.0577,0.9570,0.2697,0.996
0.187195521,-0.0587,0.9602,0.2717,1.000
0.189851354,-0.0584,0.9565,0.2722,0.996
0.196465417,-0.0580,0.9578,0.2744,0.998
0.197012344,-0.0582,0.9548,0.2792,0.997
0.197474271,-0.0584,0.9580,0.2778,0.999
0.202977917,-0.0548,0.9575,0.2792,0.999
0.203568177,-0.0555,0.9610,0.2831,1.003
0.203970625,-0.0570,0.9629,0.2841,1.006
0.20604,-0.0526,0.9583,0.2844,1.001
0.209026875,-0.0526,0.9620,0.2851,1.005
0.211344531,-0.0516,0.9632,0.2848,1.006
0.213874896,-0.0499,0.9590,0.2863,1.002
0.216844948,-0.0499,0.9588,0.2851,1.002
0.218920625,-0.0499,0.9600,0.2863,1.003
0.220156771,-0.0499,0.9590,0.2863,1.002
0.222628542,-0.0492,0.9598,0.2895,1.004
0.2249925,-0.0519,0.9575,0.2861,1.001
0.228271719,-0.0521,0.9590,0.2853,1.002
0.230703854,-0.0514,0.9624,0.2866,1.006
0.233426771,-0.0545,0.9632,0.2863,1.006
0.235273177,-0.0572,0.9641,0.2834,1.007
0.236639323,-0.0582,0.9617,0.2856,1.005
0.239029792,-0.0602,0.9637,0.2868,1.007
0.242082865,-0.0592,0.9622,0.2876,1.006
0.24463276,-0.0614,0.9624,0.2858,1.006
0.247066146,-0.0619,0.9627,0.2868,1.006
0.250115313,-0.0619,0.9600,0.2848,1.003
0.251068438,-0.0604,0.9593,0.2883,1.003
0.253989479,-0.0616,0.9615,0.2878,1.006
0.25600526,-0.0609,0.9620,0.2868,1.006
0.258590156,-0.0631,0.9629,0.2866,1.007
0.26112974,-0.0643,0.9651,0.2844,1.008
0.263563854,-0.0614,0.9676,0.2848,1.010
0.26671526,-0.0665,0.9695,0.2834,1.012
0.268702865,-0.0606,0.9739,0.2868,1.017
0.270029375,-0.0616,0.9756,0.2844,1.018
0.272338177,-0.0602,0.9739,0.2814,1.016
0.275210365,-0.0592,0.9746,0.2817,1.016
0.277763906,-0.0592,0.9725,0.2785,1.013
0.280115625,-0.0624,0.9749,0.2775,1.016
0.288669635,-0.0643,0.9790,0.2744,1.019
0.289523438,-0.0631,0.9803,0.2763,1.020
0.29017474,-0.0606,0.9805,0.2753,1.020
0.2906875,-0.0597,0.9771,0.2773,1.017
0.297116406,-0.0599,0.9739,0.2763,1.014
0.297937292,-0.0570,0.9759,0.2778,1.016
0.298608542,-0.0550,0.9749,0.2761,1.015
0.29949849,-0.0560,0.9744,0.2736,1.014
0.305252031,-0.0555,0.9744,0.2736,1.014
0.305928906,-0.0560,0.9759,0.2770,1.016
0.306554792,-0.0562,0.9751,0.2773,1.015
0.308117656,-0.0521,0.9720,0.2800,1.013
0.310077604,-0.0511,0.9720,0.2819,1.013
0.311924167,-0.0533,0.9698,0.2858,1.012
0.314361042,-0.0533,0.9722,0.2876,1.015
0.31807375,-0.0504,0.9720,0.2873,1.015
0.319346667,-0.0479,0.9681,0.2883,1.011
0.321433177,-0.0460,0.9649,0.2907,1.009
0.323983229,-0.0458,0.9695,0.2922,1.014
0.327189635,-0.0443,0.9698,0.2932,1.014
0.328886823,-0.0416,0.9663,0.2903,1.010
0.341350052,-0.0387,0.9683,0.2866,1.011
0.342223958,-0.0409,0.9698,0.2841,1.011
0.342673698,-0.0384,0.9703,0.2827,1.011
0.343067188,-0.0409,0.9742,0.2746,1.013
0.343463646,-0.0357,0.9739,0.2744,1.012
0.34410974,-0.0357,0.9793,0.2709,1.017
0.354118229,-0.0326,0.9759,0.2685,1.013
0.35520276,-0.0338,0.9771,0.2658,1.013
0.35555625,-0.0357,0.9778,0.2663,1.014
0.355907656,-0.0379,0.9788,0.2648,1.015
0.358166042,-0.0379,0.9798,0.2670,1.016
0.362971875,-0.0409,0.9805,0.2653,1.017
0.36816401,-0.0382,0.9825,0.2639,1.018
0.368798958,-0.0404,0.9798,0.2602,1.015
0.36918849,-0.0365,0.9829,0.2573,1.017
0.374719323,-0.0365,0.9829,0.2573,1.017
0.37524526,-0.0255,0.9688,0.2465,1.000
0.392227604,-0.0211,0.9644,0.2472,0.996
0.392903906,-0.0343,0.9822,0.2536,1.015
0.393497656,-0.0411,0.9861,0.2553,1.019
0.3940875,-0.0384,0.9873,0.2509,1.019
0.394708698,-0.0401,0.9844,0.2463,1.016
0.39512,-0.0370,0.9854,0.2470,1.017
0.395502813,-0.0431,0.9829,0.2494,1.015
0.395900833,-0.0450,0.9817,0.2512,1.014
0.396283333,-0.0445,0.9842,0.2492,1.016
0.396656406,-0.0423,0.9786,0.2526,1.012
0.397248281,-0.0409,0.9746,0.2514,1.007
0.397769635,-0.0423,0.9695,0.2553,1.003
0.403612188,-0.0438,0.9671,0.2590,1.002
0.404112865,-0.0377,0.9659,0.2580,1.000
0.40470599,-0.0377,0.9617,0.2595,0.997
0.406411458,-0.0338,0.9634,0.2629,0.999
0.409344792,-0.0265,0.9617,0.2619,0.997
0.410957865,-0.0196,0.9551,0.2617,0.990
0.41323625,-0.0343,0.9678,0.2663,1.004
0.415859635,-0.0462,0.9683,0.2731,1.007
0.418108073,-0.0428,0.9729,0.2697,1.011
0.420667969,-0.0401,0.9705,0.2680,1.008
0.42378651,-0.0404,0.9688,0.2680,1.006
0.425044219,-0.0357,0.9629,0.2665,1.000
0.427459115,-0.0296,0.9624,0.2651,0.999
0.431646667,-0.0238,0.9602,0.2602,0.995
0.432206979,-0.0154,0.9583,0.2538,0.991
0.43445526,-0.0142,0.9595,0.2575,0.994
0.437175104,0.0014,0.9458,0.2499,0.978
0.439922396,0.0175,0.9429,0.2446,0.974
0.442074323,0.0046,0.9575,0.2460,0.989
0.44396224,-0.0003,0.9690,0.2519,1.001
0.446362812,-0.0013,0.9754,0.2531,1.008
0.456140781,0.0029,0.9707,0.2487,1.002
0.456830885,0.0121,0.9693,0.2438,1.000
0.457289271,0.0173,0.9629,0.2409,0.993
0.457871458,0.0224,0.9553,0.2358,0.984
0.458570573,0.0309,0.9546,0.2282,0.982
0.460880781,0.0258,0.9639,0.2296,0.991
0.462588437,0.0148,0.9795,0.2274,1.006
0.464939635,0.0002,0.9969,0.2316,1.023
0.467775885,-0.0057,1.0093,0.2311,1.035
0.46950349,-0.0086,1.0194,0.2360,1.046
0.472653125,-0.0074,1.0277,0.2336,1.054
0.47431875,-0.0076,1.0306,0.2358,1.057
0.476987917,-0.0128,1.0362,0.2358,1.063
0.47920401,-0.0120,1.0343,0.2328,1.060
