time,gFx,gFy,gFz,TgF
8.25677E-4,0.0644,0.9834,0.2152,1.009
0.002264688,0.0620,0.9876,0.2187,1.013
0.005305885,0.0581,0.9854,0.2218,1.012
0.007144115,0.0566,0.9908,0.2270,1.018
0.009504219,0.0534,0.9910,0.2277,1.018
0.01140099,0.0581,0.9930,0.2306,1.021
0.014054844,0.0603,0.9949,0.2343,1.024
0.016128438,0.0576,0.9971,0.2338,1.026
0.018429583,0.0559,0.9942,0.2321,1.022
0.02080151,0.0556,0.9944,0.2309,1.022
0.023149167,0.0581,0.9978,0.2311,1.026
0.025628802,0.0547,0.9986,0.2331,1.027
0.028753542,0.0532,0.9961,0.2326,1.024
0.03026724,0.0547,0.9937,0.2282,1.021
0.03265276,0.0508,0.9956,0.2267,1.022
0.034975156,0.0525,0.9942,0.2252,1.021
0.037260156,0.0508,0.9981,0.2245,1.024
0.039648281,0.0512,0.9949,0.2228,1.021
0.042052396,0.0483,0.9925,0.2218,1.018
0.044254167,0.0481,0.9937,0.2184,1.019
0.046638177,0.0483,0.9949,0.2162,1.019
0.04896474,0.0473,0.9937,0.2150,1.018
0.051290833,0.0461,0.9944,0.2116,1.018
0.053724427,0.0459,0.9949,0.2123,1.018
0.056009583,0.0442,0.9883,0.2116,1.012
0.058446042,0.0468,0.9883,0.2091,1.011
0.060678646,0.0464,0.9886,0.2040,1.010
0.063070885,0.0451,0.9876,0.2060,1.010
0.065366979,0.0454,0.9851,0.2055,1.007
0.068587031,0.0434,0.9859,0.2047,1.008
0.070173073,0.0434,0.9829,0.2064,1.005
0.072435313,0.0447,0.9820,0.2038,1.004
0.074973125,0.0459,0.9795,0.2023,1.001
0.077118125,0.0437,0.9768,0.2008,0.998
0.079702604,0.0447,0.9695,0.2025,0.991
0.081832865,0.0427,0.9663,0.2023,0.988
0.084173073,0.0366,0.9644,0.2028,0.986
0.086542031,0.0392,0.9666,0.2023,0.988
0.088940156,0.0388,0.9637,0.2052,0.986
0.091308177,0.0402,0.9615,0.2079,0.985
