time,gFx,gFy,gFz,TgF
8.57604E-4,-0.0008,0.9698,0.2003,0.990
0.001092812,0.0038,0.9715,0.2055,0.993
0.002601875,0.0043,0.9737,0.2099,0.996
0.004975364,0.0053,0.9693,0.2130,0.992
0.007311719,0.0073,0.9700,0.2184,0.994
0.009666302,0.0109,0.9720,0.2265,0.998
0.011945677,0.0168,0.9685,0.2279,0.995
0.014252916,0.0161,0.9644,0.2328,0.992
0.01666125,0.0173,0.9607,0.2319,0.988
0.019994687,0.0185,0.9624,0.2338,0.991
0.021285208,0.0141,0.9637,0.2341,0.992
0.023580729,0.0124,0.9615,0.2314,0.989
0.02594375,0.0085,0.9685,0.2304,0.996
0.028272969,0.0048,0.9744,0.2265,1.000
0.030635364,0.0019,0.9737,0.2201,0.998
0.03304875,-0.0005,0.9751,0.2182,0.999
0.035233177,-0.0025,0.9795,0.2147,1.003
0.03774,-0.0013,0.9808,0.2111,1.003
0.040024739,-0.0018,0.9808,0.2091,1.003
0.042361146,0.0007,0.9817,0.2099,1.004
0.044773906,0.0019,0.9795,0.2106,1.002
0.047147031,-0.0001,0.9808,0.2143,1.004
0.049496094,0.0019,0.9808,0.2150,1.004
0.051740573,0.0046,0.9793,0.2191,1.004
0.054161719,0.0029,0.9790,0.2233,1.004
0.056471302,0.0043,0.9773,0.2235,1.003
0.059506302,-0.0005,0.9812,0.2284,1.007
0.0612175,0.0009,0.9805,0.2299,1.007
0.06357625,-0.0003,0.9768,0.2328,1.004
0.065929791,-0.0015,0.9815,0.2331,1.009
0.068233333,-0.0008,0.9790,0.2343,1.007
0.070554479,-0.0013,0.9766,0.2348,1.004
0.072867291,0.0009,0.9781,0.2350,1.006
0.075379427,-0.0001,0.9766,0.2350,1.004
0.077707291,-0.0037,0.9781,0.2360,1.006
0.080016719,-0.0013,0.9756,0.2372,1.004
0.082443698,-0.0010,0.9766,0.2348,1.004
0.084622916,-0.0042,0.9715,0.2358,1.000
0.087020469,-0.0018,0.9707,0.2353,0.999
0.089287969,-0.0008,0.9751,0.2370,1.004
0.091656875,-0.0010,0.9725,0.2360,1.001
0.09425276,0.0053,0.9722,0.2326,1.000
0.096358333,0.0012,0.9725,0.2338,1.000
0.099455989,0.0056,0.9739,0.2328,1.001
0.101064531,0.0021,0.9732,0.2328,1.001
0.104209583,0.0012,0.9710,0.2346,0.999
0.105770469,0.0019,0.9700,0.2336,0.998
0.108074531,0.0041,0.9700,0.2294,0.997
0.110741198,0.0063,0.9712,0.2265,0.997
0.112798437,0.0041,0.9685,0.2274,0.995
0.115255625,0.0041,0.9693,0.2252,0.995
0.117453489,0.0029,0.9693,0.2282,0.996
0.11997625,0.0024,0.9703,0.2230,0.996
0.122147864,0.0007,0.9688,0.2243,0.994
0.124514948,0.0016,0.9673,0.2230,0.993
0.126825833,0.0038,0.9678,0.2235,0.993
0.129229062,0.0048,0.9690,0.2230,0.994
0.131644114,0.0016,0.9705,0.2252,0.996
0.133980937,0.0019,0.9707,0.2213,0.996
0.136472812,0.0014,0.9742,0.2223,0.999
0.139748698,-0.0010,0.9715,0.2196,0.996
0.141017812,0.0024,0.9690,0.2213,0.994
0.143257239,-0.0001,0.9693,0.2196,0.994
0.145730469,0.0029,0.9710,0.2204,0.996
0.14810276,0.0031,0.9688,0.2199,0.993
0.150327969,0.0002,0.9744,0.2201,0.999
0.152976406,-0.0027,0.9700,0.2218,0.995
0.155084948,-0.0001,0.9715,0.2223,0.997
0.157375,0.0009,0.9705,0.2213,0.995
0.159685208,0.0012,0.9722,0.2233,0.998
0.162100625,-0.0005,0.9715,0.2240,0.997
0.164551666,0.0007,0.9725,0.2265,0.998
0.166730885,-0.0023,0.9715,0.2287,0.998
0.169456719,0.0019,0.9725,0.2309,0.999
0.171444948,-0.0003,0.9717,0.2346,1.000
0.173991146,0.0012,0.9727,0.2341,1.000
0.176131666,0.0021,0.9722,0.2358,1.000
0.179153073,-0.0023,0.9742,0.2360,1.002
0.180988229,-0.0015,0.9746,0.2375,1.003
0.183174114,-0.0008,0.9781,0.2372,1.006
0.185936927,0.0021,0.9781,0.2336,1.006
0.187906041,-0.0013,0.9759,0.2331,1.003
0.190232916,-0.0023,0.9759,0.2333,1.003
0.19254875,0.0004,0.9786,0.2279,1.005
0.195065156,0.0014,0.9793,0.2274,1.005
0.197342031,0.0021,0.9815,0.2267,1.007
0.199630364,-0.0010,0.9788,0.2248,1.004
0.203189271,0.0007,0.9817,0.2243,1.007
0.204414948,0.0031,0.9808,0.2267,1.007
0.206668906,0.0036,0.9776,0.2257,1.003
0.209087187,0.0051,0.9815,0.2252,1.007
0.212009948,0.0056,0.9803,0.2238,1.005
0.214070416,0.0080,0.9810,0.2262,1.007
0.21604401,0.0082,0.9820,0.2296,1.008
0.219034687,0.0085,0.9825,0.2284,1.009
0.220802968,0.0075,0.9832,0.2306,1.010
0.223119531,0.0065,0.9825,0.2328,1.010
0.225428854,0.0080,0.9844,0.2299,1.011
0.22780276,0.0085,0.9812,0.2302,1.008
0.230445885,0.0060,0.9808,0.2316,1.008
0.232488333,0.0090,0.9795,0.2306,1.006
0.234932552,0.0068,0.9790,0.2326,1.006
0.237205416,0.0058,0.9766,0.2331,1.004
0.239526458,0.0043,0.9781,0.2309,1.005
0.241853593,0.0056,0.9771,0.2304,1.004
0.244246562,0.0053,0.9778,0.2279,1.004
0.246664271,0.0038,0.9766,0.2248,1.002
0.248924166,0.0021,0.9764,0.2260,1.002
0.251328021,0.0046,0.9742,0.2223,0.999
0.253874375,0.0075,0.9737,0.2194,0.998
0.256004218,-0.0008,0.9698,0.2184,0.994
0.258978333,0.0060,0.9673,0.2152,0.991
0.26076375,0.0075,0.9671,0.2157,0.991
0.263159427,0.0009,0.9661,0.2140,0.990
0.265403958,0.0053,0.9654,0.2125,0.989
0.267713229,0.0036,0.9649,0.2155,0.989
0.270121093,0.0041,0.9673,0.2167,0.991
0.272420729,0.0029,0.9666,0.2189,0.991
0.275049271,0.0034,0.9671,0.2208,0.992
0.277109062,0.0048,0.9656,0.2218,0.991
0.279606562,0.0048,0.9588,0.2226,0.984
0.281827031,0.0038,0.9646,0.2238,0.990
0.284187031,0.0073,0.9617,0.2267,0.988
0.286531093,0.0073,0.9617,0.2274,0.988
0.288837135,0.0097,0.9632,0.2282,0.990
0.291149427,0.0058,0.9622,0.2284,0.989
0.293904114,0.0046,0.9641,0.2291,0.991
0.295979323,0.0068,0.9685,0.2304,0.996
0.298929948,0.0085,0.9615,0.2299,0.989
0.300656041,0.0112,0.9641,0.2299,0.991
0.303012864,0.0104,0.9668,0.2289,0.994
0.305274166,0.0117,0.9683,0.2279,0.995
0.307595416,0.0085,0.9639,0.2282,0.991
0.309964687,0.0090,0.9632,0.2299,0.990
0.312376979,0.0126,0.9659,0.2250,0.992
0.314769218,0.0114,0.9646,0.2265,0.991
0.317181406,0.0124,0.9624,0.2260,0.989
0.319383385,0.0146,0.9641,0.2248,0.990
0.321686041,0.0124,0.9659,0.2248,0.992
0.324119739,0.0141,0.9654,0.2230,0.991
0.326376771,0.0099,0.9654,0.2218,0.991
0.328912187,0.0102,0.9641,0.2211,0.989
0.331085625,0.0143,0.9698,0.2221,0.995
0.333546823,0.0134,0.9720,0.2223,0.997
0.335834218,0.0131,0.9663,0.2196,0.991
0.338781198,0.0141,0.9690,0.2177,0.993
0.34054151,0.0158,0.9700,0.2201,0.995
0.342906979,0.0126,0.9703,0.2182,0.995
0.345301354,0.0158,0.9715,0.2213,0.996
0.34755901,0.0151,0.9729,0.2213,0.998
0.349870521,0.0156,0.9695,0.2213,0.995
0.352280104,0.0170,0.9695,0.2204,0.994
0.354675,0.0165,0.9700,0.2213,0.995
0.356910885,0.0121,0.9703,0.2204,0.995
0.359417239,0.0129,0.9710,0.2211,0.996
0.361724114,0.0170,0.9710,0.2199,0.996
0.363968698,0.0158,0.9698,0.2201,0.995
0.366269583,0.0148,0.9693,0.2208,0.994
0.368680468,0.0180,0.9673,0.2216,0.993
0.371035,0.0121,0.9688,0.2182,0.993
0.373327656,0.0126,0.9678,0.2187,0.992
0.37579276,0.0121,0.9707,0.2191,0.995
0.378757396,0.0121,0.9690,0.2191,0.994
0.38047401,0.0097,0.9671,0.2194,0.992
0.382703229,0.0095,0.9668,0.2250,0.993
0.385095052,0.0109,0.9644,0.2248,0.990
0.387466718,0.0085,0.9663,0.2257,0.992
0.389795416,0.0063,0.9639,0.2260,0.990
0.392965937,0.0004,0.9663,0.2223,0.992
0.394773073,-0.0010,0.9676,0.2194,0.992
0.396823281,0.0038,0.9690,0.2182,0.993
0.399168177,0.0056,0.9668,0.2165,0.991
0.401669218,0.0048,0.9681,0.2182,0.992
0.403975156,0.0095,0.9671,0.2177,0.991
0.406179531,0.0126,0.9676,0.2140,0.991
0.408820729,0.0121,0.9676,0.2167,0.992
0.411196875,0.0139,0.9668,0.2165,0.991
0.413248541,0.0126,0.9703,0.2155,0.994
0.415577864,0.0139,0.9668,0.2165,0.991
0.418627239,0.0153,0.9683,0.2172,0.992
0.420386927,0.0146,0.9693,0.2165,0.993
0.422639531,0.0143,0.9705,0.2182,0.995
0.425337708,0.0131,0.9695,0.2211,0.994
0.427441406,0.0121,0.9673,0.2206,0.992
0.42968151,0.0126,0.9725,0.2233,0.998
0.432007291,0.0136,0.9707,0.2235,0.996
0.434475781,0.0143,0.9729,0.2240,0.998
0.436884739,0.0143,0.9695,0.2296,0.996
0.439068437,0.0126,0.9671,0.2257,0.993
0.44141651,0.0139,0.9695,0.2296,0.996
0.443878645,0.0161,0.9698,0.2287,0.996
0.446119323,0.0131,0.9688,0.2284,0.995
0.448430312,0.0143,0.9683,0.2277,0.995
0.45083302,0.0097,0.9717,0.2255,0.998
0.453197239,0.0087,0.9715,0.2243,0.997
0.455504218,0.0038,0.9720,0.2255,0.998
0.458558489,0.0053,0.9737,0.2262,1.000
0.460406198,-0.0015,0.9754,0.2265,1.001
0.462555781,-0.0052,0.9790,0.2284,1.005
0.464877968,-0.0106,0.9851,0.2230,1.010
0.467295573,-0.0584,1.0467,0.2277,1.073
0.469629375,-0.0587,1.0362,0.2255,1.062
0.471939531,-0.0431,1.0071,0.2113,1.030
0.474392656,-0.0282,0.9917,0.2020,1.013
0.476872552,-0.0130,0.9812,0.2018,1.002
0.479051354,-0.0045,0.9725,0.2018,0.993
0.481380156,0.0029,0.9666,0.2045,0.988
0.483789323,0.0139,0.9644,0.2052,0.986
0.486038489,0.0148,0.9641,0.2072,0.986
0.488363333,0.0163,0.9661,0.2099,0.989
0.490724062,0.0180,0.9656,0.2069,0.988
0.493198802,0.0913,0.9529,0.1952,0.977
0.495411041,0.1528,0.9419,0.1784,0.971
0.498408437,0.1104,0.9568,0.1749,0.979
0.500327343,0.0742,0.9620,0.1803,0.982
0.502453906,0.0414,0.9729,0.1798,0.990
0.504848073,0.0168,0.9783,0.1784,0.995
0.507191666,-0.0054,0.9895,0.1791,1.006
0.509608333,-0.0228,0.9927,0.1754,1.008
0.511863854,-0.0335,0.9898,0.1730,1.005
0.51418302,-0.0399,0.9913,0.1693,1.006
0.516587916,-0.0504,0.9913,0.1656,1.006
0.518948281,-0.0572,0.9886,0.1695,1.005
0.521248333,-0.0582,0.9847,0.1727,1.001
0.523596927,-0.0599,0.9808,0.1713,0.997
0.526266666,-0.0592,0.9744,0.1710,0.991
0.528294791,-0.0631,0.9751,0.1693,0.992
0.530604687,-0.0636,0.9661,0.1693,0.983
0.532977604,-0.0624,0.9580,0.1713,0.975
0.535274635,-0.0628,0.9524,0.1717,0.970
0.538342552,-0.0602,0.9458,0.1737,0.964
0.540116875,-0.0560,0.9421,0.1708,0.959
0.542484635,-0.0567,0.9343,0.1747,0.952
0.544725416,-0.0555,0.9326,0.1769,0.951
0.54706776,-0.0528,0.9265,0.1786,0.945
0.549416823,-0.0455,0.9216,0.1789,0.940
0.551757864,-0.0467,0.9168,0.1808,0.936
0.554156979,-0.0499,0.9133,0.1845,0.933
0.55660802,-0.0455,0.9102,0.1837,0.930
0.55902625,-0.0440,0.9092,0.1886,0.930
0.561137395,-0.0499,0.9080,0.1896,0.929
0.563491198,-0.0526,0.9045,0.1915,0.926
0.565914323,-0.0589,0.9055,0.1937,0.928
0.5681825,-0.0619,0.9043,0.1959,0.927
0.57051677,-0.0641,0.9038,0.1974,0.927
0.572924583,-0.0648,0.9050,0.1972,0.929
0.575415989,-0.0699,0.9043,0.1994,0.929
0.578228073,-0.0758,0.9080,0.2040,0.934
0.579972708,-0.0790,0.9075,0.2018,0.933
0.582279739,-0.0836,0.9082,0.2038,0.935
0.584702083,-0.0875,0.9089,0.2042,0.936
0.587015729,-0.0910,0.9097,0.2028,0.936
0.589286406,-0.0941,0.9126,0.2047,0.940
0.591831666,-0.0946,0.9155,0.2055,0.943
0.594073645,-0.0990,0.9163,0.2055,0.944
0.596336093,-0.1007,0.9209,0.2018,0.948
0.599466614,-0.1056,0.9253,0.1986,0.952
0.601159114,-0.1073,0.9280,0.1981,0.955
0.603480208,-0.1100,0.9326,0.1996,0.960
0.605717083,-0.1146,0.9385,0.1957,0.965
0.608179687,-0.1166,0.9409,0.1903,0.967
0.610617135,-0.1195,0.9487,0.1879,0.975
0.612749218,-0.1224,0.9558,0.1842,0.981
0.615339218,-0.1222,0.9622,0.1806,0.987
0.618153125,-0.1256,0.9668,0.1776,0.991
0.619928802,-0.1246,0.9732,0.1735,0.996
0.622164948,-0.1259,0.9803,0.1683,1.003
0.624613698,-0.1239,0.9844,0.1642,1.006
0.626989843,-0.1222,0.9917,0.1608,1.012
0.629212083,-0.1212,1.0005,0.1573,1.020
0.631841302,-0.1183,1.0096,0.1542,1.028
0.634024166,-0.1161,1.0113,0.1527,1.029
0.636314531,-0.1141,1.0177,0.1520,1.035
0.638584791,-0.1115,1.0240,0.1495,1.041
0.64109151,-0.1105,1.0294,0.1512,1.046
0.643349479,-0.1034,1.0313,0.1503,1.047
0.645867187,-0.1007,1.0367,0.1510,1.052
0.64845776,-0.0985,1.0399,0.1517,1.055
0.650440052,-0.0934,1.0455,0.1537,1.061
0.652764427,-0.0878,1.0491,0.1520,1.064
0.655146562,-0.0856,1.0479,0.1537,1.063
0.65831427,-0.0822,1.0494,0.1564,1.064
0.659819635,-0.0802,1.0516,0.1603,1.067
0.662151718,-0.0785,1.0553,0.1625,1.071
0.664547187,-0.0758,1.0538,0.1639,1.069
0.66687,-0.0714,1.0545,0.1698,1.070
0.669160625,-0.0704,1.0596,0.1742,1.076
0.671460729,-0.0646,1.0594,0.1823,1.077
0.675200208,-0.0624,1.0616,0.1886,1.080
0.676252135,-0.0582,1.0594,0.1935,1.079
0.678531302,-0.0565,1.0653,0.2045,1.086
0.681029635,-0.0519,1.0687,0.2103,1.090
0.683315989,-0.0467,1.0697,0.2182,1.093
0.68557901,-0.0409,1.0731,0.2252,1.097
0.687883906,-0.0411,1.0738,0.2296,1.099
0.69036625,-0.0350,1.0809,0.2367,1.107
0.692619739,-0.0331,1.0848,0.2409,1.112
0.695065208,-0.0284,1.0892,0.2460,1.117
0.698549635,-0.0233,1.0936,0.2543,1.123
0.69972375,-0.0206,1.0995,0.2570,1.129
0.702002708,-0.0174,1.1034,0.2595,1.134
0.704340312,-0.0145,1.1061,0.2639,1.137
0.706798854,-0.0118,1.1046,0.2646,1.136
