time,gFx,gFy,gFz,TgF
0.923950624,0.0212,-0.0773,0.9484,0.952
0.925093072,0.0195,-0.0682,0.9540,0.957
0.925603437,0.0153,-0.0656,0.9652,0.968
0.926187708,0.0151,-0.0617,0.9757,0.978
0.926623333,0.0170,-0.0604,0.9862,0.988
0.927069843,0.0197,-0.0604,0.9980,1.000
0.927541354,0.0180,-0.0597,1.0055,1.007
0.929842291,0.0209,-0.0585,1.0165,1.018
0.931458645,0.0246,-0.0636,1.0226,1.025
0.935993854,0.0224,-0.0619,1.0243,1.026
0.936407083,0.0209,-0.0673,1.0190,1.021
0.938000833,0.0263,-0.0680,1.0114,1.014
0.940451614,0.0273,-0.0614,1.0046,1.007
0.943093541,0.0295,-0.0604,1.0011,1.003
0.945327343,0.0285,-0.0580,0.9955,0.998
0.949211197,0.0266,-0.0585,0.9897,0.992
0.950243645,0.0275,-0.0560,0.9889,0.991
0.952291302,0.0217,-0.0590,1.0033,1.005
0.955789583,0.0322,-0.0521,0.9743,0.976
0.957434531,0.0270,-0.0531,0.9992,1.001
0.959218541,0.0141,-0.0580,0.9989,1.001
0.961638489,0.0143,-0.0607,1.0102,1.012
0.965087291,0.0156,-0.0636,1.0112,1.013
0.966234322,0.0156,-0.0665,1.0072,1.010
0.96874552,0.0099,-0.0658,1.0163,1.018
0.971378854,0.0104,-0.0692,1.0112,1.014
0.973655468,0.0087,-0.0776,1.0090,1.012
0.97581901,0.0104,-0.0758,1.0094,1.012
0.978154062,0.0124,-0.0788,1.0072,1.010
0.98192401,0.0117,-0.0754,1.0055,1.008
0.982861406,0.0078,-0.0795,1.0070,1.010
0.985062083,0.0121,-0.0812,1.0048,1.008
0.987917656,0.0239,-0.0849,1.0004,1.004
0.990226979,0.0283,-0.0778,1.0002,1.004
0.992512968,0.0295,-0.0746,1.0053,1.008
0.994736458,0.0312,-0.0761,1.0092,1.013
0.997153541,0.0324,-0.0741,1.0099,1.013
0.999435208,0.0314,-0.0714,1.0141,1.017
1.001565208,0.0197,-0.0712,1.0177,1.020
1.004654322,0.0495,-0.0646,1.0087,1.012
1.006745729,0.0414,-0.0590,1.0131,1.016
1.008693854,0.0341,-0.0573,1.0185,1.021
1.011224947,0.0353,-0.0595,1.0131,1.015
1.013443645,0.0361,-0.0607,1.0124,1.015
1.015721614,0.0334,-0.0614,1.0092,1.012
1.017892291,0.0392,-0.0582,1.0065,1.009
1.02026177,0.0309,-0.0548,1.0058,1.008
1.023229479,0.0307,-0.0548,1.0055,1.007
1.025595312,0.0300,-0.0565,1.0007,1.003
1.027762291,0.0317,-0.0555,0.9965,0.999
1.031551406,0.0331,-0.0460,0.9928,0.994
1.032196822,0.0268,-0.0436,0.9811,0.982
1.035359791,0.0234,-0.0485,0.9889,0.990
1.036909114,0.0180,-0.0543,1.0016,1.003
1.040167864,0.0280,-0.0619,1.0021,1.004
1.042015156,0.0300,-0.0626,1.0082,1.011
1.044629218,0.0219,-0.0643,1.0153,1.018
1.046623229,0.0192,-0.0595,1.0121,1.014
1.053791822,0.0131,-0.0631,1.0102,1.012
1.054474531,0.0139,-0.0648,1.0055,1.008
1.055484479,0.0153,-0.0653,1.0019,1.004
1.056064895,0.0195,-0.0690,1.0011,1.004
1.059603124,0.0207,-0.0673,0.9977,1.000
1.063449427,0.0239,-0.0634,0.9972,1.000
1.068181145,0.0270,-0.0641,1.0007,1.003
1.073662083,0.0239,-0.0660,1.0002,1.003
1.074194687,0.0273,-0.0680,0.9999,1.003
1.074803593,0.0266,-0.0717,1.0007,1.004
1.075677343,0.0251,-0.0724,1.0014,1.004
1.076325989,0.0222,-0.0736,1.0036,1.007
1.078589166,0.0209,-0.0707,1.0021,1.005
1.079266249,0.0236,-0.0702,1.0038,1.007
1.082193385,0.0175,-0.0709,1.0014,1.004
1.084637395,0.0178,-0.0732,0.9999,1.003
1.087095937,0.0207,-0.0687,1.0050,1.008
1.089271458,0.0173,-0.0697,1.0028,1.005
1.091109218,0.0170,-0.0714,1.0038,1.007
1.093192499,0.0187,-0.0707,1.0058,1.008
1.095928749,0.0170,-0.0685,1.0072,1.010
1.099694739,0.0165,-0.0704,1.0075,1.010
1.101149114,0.0153,-0.0656,1.0104,1.013
1.102658958,0.0161,-0.0690,1.0090,1.011
1.106685676,0.0141,-0.0690,1.0124,1.015
1.107776301,0.0180,-0.0700,1.0141,1.017
1.110478541,0.0153,-0.0751,1.0160,1.019
1.114486979,0.0168,-0.0761,1.0155,1.019
1.11510651,0.0200,-0.0763,1.0170,1.020
1.117424479,0.0207,-0.0754,1.0209,1.024
1.120435416,0.0197,-0.0778,1.0173,1.020
1.122525572,0.0253,-0.0778,1.0173,1.021
1.124216874,0.0231,-0.0751,1.0163,1.019
1.126942604,0.0236,-0.0727,1.0131,1.016
1.129360937,0.0239,-0.0741,1.0114,1.014
1.131837916,0.0204,-0.0736,1.0092,1.012
1.133372395,0.0226,-0.0746,1.0097,1.013
1.137919322,0.0234,-0.0704,1.0050,1.008
1.139041718,0.0212,-0.0702,1.0072,1.010
1.141283437,0.0212,-0.0648,1.0068,1.009
1.143409531,0.0207,-0.0660,1.0048,1.007
1.151355729,0.0229,-0.0668,1.0077,1.010
1.152409687,0.0224,-0.0687,1.0043,1.007
1.153215676,0.0190,-0.0680,1.0033,1.006
1.153981301,0.0253,-0.0670,1.0016,1.004
1.154550729,0.0219,-0.0656,1.0028,1.005
1.157084322,0.0266,-0.0690,1.0004,1.003
1.159656301,0.0278,-0.0673,1.0028,1.005
1.163792708,0.0283,-0.0675,0.9999,1.003
1.16475177,0.0280,-0.0663,1.0009,1.003
1.166433281,0.0270,-0.0687,1.0004,1.003
1.169435989,0.0278,-0.0646,0.9980,1.000
1.171656093,0.0270,-0.0697,0.9992,1.002
1.173752083,0.0244,-0.0660,0.9987,1.001
1.176220156,0.0288,-0.0695,0.9977,1.001
1.180246979,0.0253,-0.0680,0.9975,1.000
1.180894739,0.0256,-0.0670,1.0007,1.003
1.183459322,0.0273,-0.0700,1.0009,1.004
1.186336406,0.0270,-0.0741,1.0007,1.004
1.191643801,0.0261,-0.0678,0.9999,1.003
1.192315729,0.0285,-0.0665,1.0046,1.007
1.193029426,0.0280,-0.0719,1.0033,1.006
1.196231666,0.0297,-0.0697,1.0058,1.009
1.203651041,0.0256,-0.0668,1.0038,1.006
1.20425026,0.0241,-0.0682,1.0019,1.004
1.204752083,0.0207,-0.0648,1.0033,1.006
1.205220989,0.0244,-0.0643,0.9997,1.002
1.206365104,0.0251,-0.0631,1.0004,1.003
1.209727499,0.0222,-0.0614,1.0009,1.003
1.214485364,0.0234,-0.0614,1.0028,1.005
1.214970364,0.0219,-0.0609,1.0019,1.004
1.215766041,0.0251,-0.0607,0.9985,1.001
1.217948176,0.0251,-0.0626,0.9975,1.000
1.220834999,0.0224,-0.0619,1.0009,1.003
1.222477812,0.0253,-0.0634,1.0041,1.006
1.225669999,0.0266,-0.0631,1.0085,1.011
1.226988333,0.0241,-0.0658,1.0131,1.016
1.22957526,0.0256,-0.0646,1.0158,1.018
1.23238677,0.0226,-0.0641,1.0173,1.020
1.235289114,0.0229,-0.0638,1.0155,1.018
1.241611979,0.0224,-0.0624,1.0136,1.016
1.242318645,0.0192,-0.0590,1.0107,1.013
1.242907031,0.0200,-0.0626,1.0063,1.008
1.24705552,0.0229,-0.0595,1.0053,1.007
1.247590833,0.0256,-0.0636,1.0036,1.006
1.249034895,0.0246,-0.0631,1.0038,1.006
1.251713229,0.0270,-0.0663,1.0043,1.007
1.253783801,0.0248,-0.0621,0.9999,1.002
1.255476041,0.0288,-0.0629,0.9989,1.001
1.258703906,0.0290,-0.0629,0.9955,0.998
1.262557239,0.0268,-0.0651,0.9955,0.998
1.263493958,0.0285,-0.0665,0.9953,0.998
1.265622656,0.0275,-0.0680,0.9977,1.000
1.268329947,0.0292,-0.0682,0.9985,1.001
1.270814218,0.0273,-0.0668,1.0004,1.003
1.27209526,0.0256,-0.0709,0.9992,1.002
1.275290104,0.0244,-0.0680,1.0024,1.005
1.277866614,0.0219,-0.0704,1.0043,1.007
1.279891874,0.0214,-0.0673,1.0048,1.007
1.282199374,0.0207,-0.0665,1.0024,1.005
1.285465937,0.0217,-0.0685,1.0038,1.006
1.287923124,0.0217,-0.0663,1.0046,1.007
1.288675468,0.0231,-0.0668,1.0009,1.003
1.291547239,0.0214,-0.0685,1.0026,1.005
1.293255416,0.0229,-0.0675,1.0021,1.005
1.296333854,0.0204,-0.0673,1.0026,1.005
1.299247708,0.0231,-0.0700,1.0031,1.006
1.300233541,0.0226,-0.0675,1.0048,1.007
1.302808281,0.0231,-0.0690,1.0043,1.007
1.305087135,0.0207,-0.0685,1.0055,1.008
1.308396926,0.0212,-0.0712,1.0053,1.008
1.310252447,0.0219,-0.0678,1.0090,1.011
1.312899426,0.0246,-0.0709,1.0107,1.013
1.315922083,0.0258,-0.0690,1.0104,1.013
1.317598541,0.0290,-0.0690,1.0124,1.015
1.319557395,0.0263,-0.0673,1.0138,1.016
1.321820051,0.0288,-0.0697,1.0133,1.016
1.324496458,0.0258,-0.0668,1.0107,1.013
1.327454531,0.0268,-0.0663,1.0099,1.012
1.329624843,0.0261,-0.0665,1.0063,1.009
1.331042812,0.0297,-0.0704,1.0026,1.006
1.334950208,0.0283,-0.0709,0.9997,1.003
1.336653124,0.0292,-0.0702,1.0004,1.003
1.338505156,0.0317,-0.0700,1.0009,1.004
1.341000937,0.0283,-0.0695,0.9967,1.000
1.34393901,0.0285,-0.0736,0.9960,0.999
1.351327968,0.0309,-0.0714,0.9997,1.003
1.352828072,0.0309,-0.0700,0.9977,1.001
1.353541822,0.0273,-0.0736,1.0011,1.004
1.354252864,0.0307,-0.0736,1.0011,1.004
1.354940103,0.0288,-0.0707,1.0028,1.006
1.358947239,0.0295,-0.0712,1.0038,1.007
1.36003427,0.0297,-0.0678,1.0050,1.008
1.363608489,0.0266,-0.0670,1.0063,1.009
1.36475651,0.0263,-0.0687,1.0077,1.010
1.366914426,0.0266,-0.0668,1.0082,1.011
1.368662656,0.0248,-0.0678,1.0080,1.011
