time,gFx,gFy,gFz,TgF
0.0021525,0.0495,0.7733,0.6347,1.002
0.002889167,0.0525,0.7753,0.6325,1.002
0.003352605,0.0510,0.7736,0.6340,1.001
0.003797136,0.0527,0.7746,0.6376,1.005
0.004158438,0.0554,0.7728,0.6413,1.006
0.00450448,0.0544,0.7714,0.6386,1.003
0.00780099,0.0603,0.7706,0.6374,1.002
0.012471459,0.0666,0.7638,0.6384,0.998
0.012753855,0.0678,0.7626,0.6401,0.998
0.015473802,0.0683,0.7665,0.6428,1.003
0.01807625,0.0674,0.7614,0.6440,0.999
0.019385573,0.0637,0.7638,0.6401,0.999
0.021112448,0.0630,0.7638,0.6401,0.999
0.023618594,0.0576,0.7650,0.6413,1.000
0.026248855,0.0603,0.7638,0.6413,0.999
0.028294688,0.0556,0.7665,0.6418,1.001
0.03081599,0.0542,0.7675,0.6391,1.000
0.033943177,0.0556,0.7650,0.6418,1.000
0.038237917,0.0520,0.7699,0.6396,1.002
0.038787084,0.0530,0.7685,0.6415,1.002
0.039581302,0.0505,0.7680,0.6413,1.002
0.042463646,0.0461,0.7704,0.6415,1.004
0.044592865,0.0442,0.7721,0.6418,1.005
0.047097448,0.0468,0.7687,0.6442,1.004
0.056344844,0.0434,0.7694,0.6415,1.003
0.057179271,0.0451,0.7697,0.6418,1.003
0.05754,0.0449,0.7711,0.6415,1.004
0.057868438,0.0414,0.7677,0.6376,0.999
0.059000938,0.0420,0.7743,0.6411,1.006
0.065541563,0.0400,0.7726,0.6420,1.005
0.066128855,0.0363,0.7704,0.6401,1.002
0.066484636,0.0375,0.7711,0.6415,1.004
0.072551302,0.0361,0.7746,0.6411,1.006
0.073103959,0.0371,0.7750,0.6425,1.007
0.07368474,0.0373,0.7741,0.6393,1.005
0.083319896,0.0375,0.7758,0.6430,1.008
0.084087813,0.0385,0.7743,0.6408,1.006
0.084460521,0.0353,0.7758,0.6393,1.006
0.086171042,0.0368,0.7772,0.6398,1.007
0.086536719,0.0397,0.7741,0.6381,1.004
0.086907188,0.0395,0.7736,0.6379,1.003
0.090288386,0.0405,0.7768,0.6403,1.007
0.093201146,0.0410,0.7760,0.6418,1.008
0.094390105,0.0481,0.7743,0.6430,1.008
0.096091927,0.0454,0.7758,0.6440,1.009
0.100546302,0.0476,0.7728,0.6435,1.007
0.101084636,0.0515,0.7736,0.6384,1.004
0.103129896,0.0486,0.7770,0.6367,1.006
0.105713021,0.0503,0.7755,0.6347,1.003
0.108409115,0.0534,0.7746,0.6330,1.002
0.11098474,0.0520,0.7777,0.6278,1.001
0.112829896,0.0537,0.7750,0.6244,0.997
0.116476563,0.0556,0.7755,0.6254,0.998
0.117765938,0.0537,0.7760,0.6261,0.999
0.119649636,0.0508,0.7772,0.6256,0.999
0.122216459,0.0556,0.7733,0.6261,0.997
0.12491099,0.0515,0.7750,0.6315,1.001
0.127477865,0.0534,0.7741,0.6357,1.003
0.129901511,0.0571,0.7716,0.6376,1.003
0.133128594,0.0552,0.7728,0.6437,1.007
0.134881198,0.0576,0.7746,0.6433,1.008
0.13628323,0.0549,0.7743,0.6442,1.009
0.138849375,0.0481,0.7702,0.6420,1.004
0.141627032,0.0503,0.7728,0.6393,1.004
0.143930521,0.0493,0.7731,0.6401,1.005
0.146598177,0.0503,0.7728,0.6393,1.004
0.149342396,0.0547,0.7736,0.6389,1.005
0.15098198,0.0561,0.7733,0.6408,1.006
0.152720677,0.0534,0.7724,0.6423,1.006
0.154995469,0.0554,0.7726,0.6428,1.007
0.164738073,0.0520,0.7726,0.6411,1.005
0.165486927,0.0530,0.7714,0.6418,1.005
0.16591948,0.0512,0.7704,0.6411,1.004
0.166392292,0.0539,0.7738,0.6450,1.009
0.168119271,0.0500,0.7702,0.6415,1.004
0.169069271,0.0483,0.7702,0.6408,1.003
0.171292448,0.0459,0.7711,0.6401,1.003
0.17459224,0.0478,0.7728,0.6396,1.004
0.176991407,0.0432,0.7689,0.6379,1.000
0.179246563,0.0481,0.7699,0.6423,1.004
0.181920469,0.0456,0.7697,0.6401,1.002
0.184053542,0.0459,0.7704,0.6428,1.004
0.185683334,0.0459,0.7699,0.6435,1.004
0.187868855,0.0434,0.7716,0.6437,1.006
0.190909115,0.0451,0.7724,0.6381,1.003
0.193315834,0.0454,0.7689,0.6384,1.000
0.19590073,0.0464,0.7714,0.6367,1.001
0.197592396,0.0488,0.7692,0.6379,1.000
0.199620052,0.0490,0.7685,0.6364,0.999
0.202224167,0.0534,0.7685,0.6374,1.000
0.204707032,0.0517,0.7692,0.6362,1.000
0.207432084,0.0488,0.7728,0.6379,1.003
0.20979375,0.0505,0.7726,0.6347,1.001
0.212414323,0.0534,0.7748,0.6335,1.002
0.215389532,0.0537,0.7728,0.6315,1.000
0.216961667,0.0539,0.7733,0.6303,0.999
0.218844063,0.0542,0.7755,0.6359,1.004
0.221015261,0.0583,0.7743,0.6374,1.005
0.223988959,0.0581,0.7726,0.6413,1.006
0.226365469,0.0559,0.7731,0.6418,1.006
0.228945677,0.0578,0.7736,0.6398,1.006
0.23196698,0.0576,0.7711,0.6425,1.005
0.233447813,0.0578,0.7758,0.6445,1.010
0.235042396,0.0583,0.7736,0.6442,1.008
0.237301823,0.0569,0.7682,0.6467,1.006
0.240281875,0.0549,0.7719,0.6457,1.008
0.242760625,0.0520,0.7721,0.6457,1.008
