time,gFx,gFy,gFz,TgF
0.426358697,0.0508,0.7149,0.6941,0.998
0.427346979,0.0410,0.7093,0.6950,0.994
0.428031145,0.0432,0.7091,0.6929,0.992
0.428506406,0.0392,0.7103,0.6963,0.995
0.428877083,0.0388,0.7110,0.6968,0.996
0.429244114,0.0380,0.7103,0.7021,0.999
0.43166677,0.0371,0.7123,0.7009,1.000
0.433232291,0.0317,0.7154,0.6992,1.001
0.435171302,0.0253,0.7159,0.6960,0.999
0.437448437,0.0251,0.7125,0.6936,0.995
0.440153072,0.0307,0.7071,0.6914,0.989
0.442114635,0.0341,0.7040,0.6963,0.991
0.445519635,0.0358,0.7047,0.6982,0.993
0.446331249,0.0356,0.7052,0.6980,0.993
0.450759374,0.0361,0.7054,0.7012,0.995
0.452023385,0.0329,0.7059,0.7016,0.996
0.45333052,0.0317,0.7035,0.7043,0.996
0.455882916,0.0283,0.7066,0.7065,1.000
0.458932291,0.0292,0.7086,0.7090,1.003
0.460485781,0.0280,0.7084,0.7099,1.003
0.46276927,0.0266,0.7113,0.7097,1.005
0.465107083,0.0270,0.7147,0.7138,1.011
0.467384739,0.0263,0.7103,0.7063,1.002
0.470520833,0.0275,0.7120,0.7029,1.001
0.473207604,0.0248,0.7120,0.6997,0.999
0.475543593,0.0226,0.7115,0.7016,1.000
0.47691177,0.0195,0.7115,0.6953,0.995
0.479262968,0.0251,0.7120,0.6955,0.996
0.483747916,0.0251,0.7066,0.6948,0.991
0.485087135,0.0231,0.7088,0.6948,0.993
0.487288177,0.0273,0.7057,0.6941,0.990
0.490196197,0.0329,0.7074,0.6985,0.995
0.492728593,0.0324,0.7101,0.6972,0.996
0.493508697,0.0368,0.7108,0.6953,0.995
0.496139583,0.0373,0.7125,0.6946,0.996
0.501080416,0.0366,0.7120,0.6924,0.994
0.501690885,0.0319,0.7110,0.6907,0.992
0.50455677,0.0324,0.7127,0.6943,0.996
0.509398593,0.0336,0.7113,0.6955,0.995
0.512876197,0.0344,0.7147,0.6960,0.998
0.522996354,0.0356,0.7142,0.6970,0.999
0.524138802,0.0353,0.7162,0.6990,1.001
0.52462302,0.0380,0.7145,0.6990,1.000
0.525100052,0.0358,0.7215,0.6975,1.004
0.525555729,0.0412,0.7169,0.6958,1.000
0.531582499,0.0407,0.7206,0.6948,1.002
0.547745677,0.0434,0.7232,0.6914,1.001
