time,gFx,gFy,gFz,TgF
3.095918853,-0.0470,0.9373,0.3374,0.997
3.097040519,-0.0482,0.9390,0.3362,0.998
3.097499321,-0.0487,0.9382,0.3388,0.999
3.097936509,-0.0472,0.9368,0.3401,0.998
3.100046457,-0.0482,0.9377,0.3418,0.999
3.102552498,-0.0501,0.9370,0.3445,1.000
3.108719217,-0.0506,0.9412,0.3474,1.005
3.10937203,-0.0519,0.9402,0.3484,1.004
3.109867134,-0.0538,0.9365,0.3474,1.000
3.111140311,-0.0504,0.9385,0.3499,1.003
3.114473748,-0.0516,0.9356,0.3513,1.001
3.116339321,-0.0511,0.9375,0.3525,1.003
3.118773488,-0.0519,0.9373,0.3472,1.001
3.121304946,-0.0536,0.9370,0.3474,1.001
3.12283604,-0.0521,0.9392,0.3472,1.003
3.1256513,-0.0475,0.9395,0.3464,1.002
3.127479113,-0.0526,0.9358,0.3460,0.999
3.129770728,-0.0506,0.9368,0.3481,1.001
3.133090519,-0.0470,0.9377,0.3467,1.001
3.135449686,-0.0477,0.9404,0.3455,1.003
3.137956978,-0.0472,0.9412,0.3445,1.003
3.140133644,-0.0467,0.9363,0.3450,0.999
3.142249061,-0.0487,0.9353,0.3447,0.998
3.144306457,-0.0477,0.9351,0.3479,0.999
3.146481248,-0.0484,0.9368,0.3474,1.000
3.149384113,-0.0467,0.9353,0.3467,0.999
3.151927655,-0.0453,0.9309,0.3467,0.994
3.154355311,-0.0475,0.9356,0.3472,0.999
3.155969269,-0.0467,0.9331,0.3457,0.996
3.158746248,-0.0467,0.9309,0.3450,0.994
3.161173905,-0.0467,0.9326,0.3467,0.996
3.163108957,-0.0445,0.9365,0.3469,1.000
3.166251978,-0.0458,0.9375,0.3474,1.001
3.168013957,-0.0431,0.9336,0.3467,0.997
3.174025207,-0.0431,0.9377,0.3489,1.001
3.17489854,-0.0455,0.9392,0.3479,1.003
3.175455415,-0.0445,0.9329,0.3464,0.996
3.177265259,-0.0414,0.9370,0.3460,1.000
3.180169373,-0.0458,0.9351,0.3481,0.999
3.182490988,-0.0431,0.9365,0.3489,1.000
3.185027603,-0.0421,0.9404,0.3467,1.003
3.186859269,-0.0431,0.9382,0.3467,1.001
3.189176978,-0.0438,0.9377,0.3484,1.001
3.191719425,-0.0406,0.9353,0.3484,0.999
3.193499113,-0.0440,0.9356,0.3499,1.000
3.195636821,-0.0428,0.9373,0.3508,1.002
3.198801561,-0.0455,0.9348,0.3494,0.999
3.201474373,-0.0465,0.9368,0.3501,1.001
3.203828905,-0.0426,0.9360,0.3501,1.000
3.206092863,-0.0458,0.9348,0.3494,0.999
3.208566353,-0.0492,0.9380,0.3518,1.003
3.21095953,-0.0460,0.9387,0.3525,1.004
3.213868332,-0.0455,0.9390,0.3521,1.004
3.216176353,-0.0458,0.9404,0.3525,1.005
3.217555311,-0.0455,0.9395,0.3533,1.005
3.224417811,-0.0462,0.9397,0.3523,1.005
3.225082811,-0.0487,0.9407,0.3530,1.006
3.225630571,-0.0484,0.9380,0.3521,1.003
3.226666925,-0.0514,0.9385,0.3525,1.004
3.230129425,-0.0448,0.9424,0.3516,1.007
3.231695207,-0.0472,0.9409,0.3499,1.005
3.2341213,-0.0482,0.9429,0.3503,1.007
3.236949894,-0.0477,0.9404,0.3521,1.005
3.238901769,-0.0465,0.9412,0.3518,1.006
3.240392186,-0.0489,0.9434,0.3518,1.008
3.242665415,-0.0506,0.9421,0.3528,1.007
3.245389582,-0.0501,0.9426,0.3518,1.007
3.247541717,-0.0497,0.9399,0.3550,1.006
3.2500263,-0.0489,0.9397,0.3538,1.005
3.254104009,-0.0482,0.9390,0.3540,1.005
3.25610578,-0.0465,0.9399,0.3540,1.005
