time,gFx,gFy,gFz,TgF
0.001827135,-0.0030,0.9632,0.2971,1.008
0.002655729,-0.0096,0.9678,0.3044,1.015
0.003053541,-0.0106,0.9695,0.3113,1.018
0.003445104,-0.0081,0.9688,0.3171,1.019
0.003769843,-0.0054,0.9654,0.3181,1.016
0.009112656,-0.0037,0.9607,0.3210,1.013
0.009382395,-0.0027,0.9627,0.3205,1.015
0.011285104,-0.0023,0.9620,0.3210,1.014
0.018323593,-0.0013,0.9605,0.3205,1.013
0.018686354,-0.0023,0.9556,0.3191,1.007
0.01893651,-0.0025,0.9556,0.3203,1.008
0.01951875,-0.0015,0.9541,0.3205,1.007
0.022007031,0.0024,0.9519,0.3203,1.004
0.023771302,0.0002,0.9536,0.3249,1.007
0.027686823,-0.0010,0.9470,0.3230,1.001
0.02835875,-0.0027,0.9500,0.3244,1.004
0.03104026,-0.0049,0.9448,0.3266,1.000
0.033348437,-0.0098,0.9473,0.3264,1.002
0.036251302,-0.0091,0.9453,0.3227,0.999
0.038009427,-0.0093,0.9482,0.3203,1.001
0.040241406,-0.0106,0.9490,0.3188,1.001
0.043903593,-0.0081,0.9463,0.3176,0.998
0.044980104,-0.0106,0.9492,0.3149,1.000
0.047692708,-0.0086,0.9509,0.3120,1.001
0.050103072,-0.0079,0.9524,0.3108,1.002
0.05239125,-0.0032,0.9478,0.3127,0.998
0.055056302,0.0016,0.9487,0.3127,0.999
0.056676822,0.0036,0.9456,0.3161,0.997
0.061219687,0.0009,0.9478,0.3161,0.999
0.061754427,0.0046,0.9480,0.3144,0.999
0.064026822,0.0024,0.9500,0.3149,1.001
0.066720104,0.0031,0.9485,0.3164,1.000
0.068949427,0.0021,0.9541,0.3166,1.005
0.071938385,0.0065,0.9541,0.3196,1.006
0.073140937,0.0009,0.9553,0.3213,1.008
0.076958385,0.0002,0.9536,0.3266,1.008
0.078508125,-0.0027,0.9551,0.3274,1.010
0.080442343,-0.0023,0.9578,0.3313,1.013
0.082724583,-0.0018,0.9573,0.3301,1.013
0.092410208,-0.0027,0.9605,0.3335,1.017
0.093112083,-0.0027,0.9565,0.3349,1.013
0.093618854,-0.0015,0.9598,0.3337,1.016
0.094509739,-0.0035,0.9570,0.3364,1.014
0.094982708,-0.0020,0.9590,0.3401,1.018
0.099577708,-0.0023,0.9573,0.3393,1.016
0.100189791,0.0007,0.9575,0.3396,1.016
0.101991041,-0.0023,0.9627,0.3381,1.020
0.103421562,-0.0018,0.9617,0.3376,1.019
0.10593151,-0.0025,0.9595,0.3354,1.016
0.110465885,-0.0013,0.9602,0.3325,1.016
0.1110675,-0.0027,0.9607,0.3301,1.016
0.113450416,-0.0030,0.9590,0.3252,1.013
0.115693906,-0.0045,0.9602,0.3215,1.013
0.118859635,-0.0047,0.9634,0.3222,1.016
0.12000276,-0.0015,0.9607,0.3176,1.012
0.122514843,-0.0018,0.9583,0.3159,1.009
0.124862083,-0.0003,0.9600,0.3215,1.012
0.127698802,-0.0035,0.9541,0.3210,1.007
0.129441979,-0.0010,0.9556,0.3215,1.008
0.131642135,0.0014,0.9548,0.3247,1.009
0.135531458,0.0038,0.9507,0.3239,1.004
0.136859479,0.0026,0.9495,0.3210,1.002
0.13876375,0.0012,0.9470,0.3198,1.000
0.141796875,0.0053,0.9465,0.3174,0.998
0.143983333,0.0063,0.9492,0.3127,0.999
0.146210572,0.0112,0.9461,0.3064,0.994
0.148535885,0.0285,0.9446,0.2726,0.984
0.152087916,0.0226,0.9536,0.2898,0.997
0.152861302,0.0180,0.9522,0.3095,1.001
0.155338177,0.0280,0.9426,0.3130,0.994
0.157993489,0.0270,0.9429,0.3127,0.994
0.160230468,0.0214,0.9463,0.3083,0.995
0.162721197,0.0143,0.9514,0.3083,1.000
0.165000625,0.0117,0.9529,0.3064,1.001
0.167911354,0.0058,0.9504,0.3071,0.999
0.169318072,0.0099,0.9468,0.3025,0.994
0.171681666,0.0134,0.9478,0.2988,0.994
0.174498697,0.0202,0.9446,0.2990,0.991
0.176817708,0.0202,0.9426,0.2998,0.989
0.179057708,0.0258,0.9392,0.2998,0.986
0.181391822,0.0266,0.9382,0.3010,0.986
0.191074895,0.0285,0.9385,0.3005,0.986
0.191797864,0.0288,0.9390,0.2995,0.986
0.192210364,0.0285,0.9373,0.2998,0.984
0.192616927,0.0258,0.9390,0.3000,0.986
0.193023958,0.0246,0.9390,0.2966,0.985
0.198412604,0.0195,0.9397,0.2971,0.986
0.198901875,0.0161,0.9434,0.2971,0.989
0.200796302,0.0165,0.9434,0.2924,0.988
0.202031979,0.0131,0.9453,0.2885,0.988
