time,gFx,gFy,gFz,TgF
9.8026E-4,-0.0089,0.9644,0.2680,1.001
0.001754948,-0.0106,0.9632,0.2678,1.000
0.004452031,-0.0059,0.9654,0.2702,1.002
0.008151458,-0.0054,0.9634,0.2682,1.000
0.008931563,-0.0089,0.9629,0.2709,1.000
0.011129219,-0.0045,0.9671,0.2722,1.005
0.013562656,-0.0030,0.9641,0.2680,1.001
0.015872917,-0.0005,0.9622,0.2719,1.000
0.01777974,-0.0018,0.9629,0.2736,1.001
0.020642917,-0.0057,0.9590,0.2704,0.996
0.022809427,-0.0027,0.9590,0.2717,0.997
0.024869323,-0.0037,0.9568,0.2741,0.995
0.027214167,-0.0052,0.9593,0.2753,0.998
0.029562448,-0.0062,0.9595,0.2744,0.998
0.032522604,-0.0064,0.9583,0.2741,0.997
0.034720208,-0.0059,0.9615,0.2744,1.000
0.037085365,-0.0069,0.9610,0.2751,1.000
0.039093958,-0.0084,0.9617,0.2763,1.001
0.041732708,-0.0081,0.9598,0.2753,0.998
0.044208854,-0.0069,0.9632,0.2744,1.002
0.046487969,-0.0074,0.9632,0.2739,1.001
0.048787344,-0.0079,0.9632,0.2758,1.002
0.051158021,-0.0076,0.9615,0.2763,1.000
0.05353974,-0.0140,0.9646,0.2756,1.003
0.055563333,-0.0115,0.9605,0.2763,1.000
0.057861302,-0.0108,0.9605,0.2751,0.999
0.060718646,-0.0118,0.9659,0.2770,1.005
0.062955625,-0.0120,0.9661,0.2763,1.005
0.065278177,-0.0120,0.9644,0.2753,1.003
0.067659167,-0.0147,0.9651,0.2744,1.003
0.070024583,-0.0165,0.9659,0.2763,1.005
0.072069323,-0.0165,0.9656,0.2751,1.004
0.074737292,-0.0147,0.9651,0.2761,1.004
0.077234531,-0.0140,0.9629,0.2741,1.001
0.079419323,-0.0152,0.9639,0.2763,1.003
0.081751979,-0.0135,0.9651,0.2758,1.004
0.08412526,-0.0152,0.9639,0.2773,1.003
0.086654844,-0.0154,0.9668,0.2758,1.006
