time,gFx,gFy,gFz,TgF
0.002336666,0.0246,0.9776,0.2062,0.999
0.003323541,0.0256,0.9764,0.2077,0.999
0.003738125,0.0266,0.9776,0.2082,1.000
0.004187291,0.0244,0.9788,0.2091,1.001
0.004775469,0.0229,0.9793,0.2125,1.002
0.005088281,0.0253,0.9771,0.2116,1.000
0.005402344,0.0234,0.9773,0.2108,1.000
0.010845416,0.0266,0.9771,0.2157,1.001
0.011212083,0.0258,0.9751,0.2130,0.998
0.012278906,0.0246,0.9778,0.2147,1.001
0.021957031,0.0273,0.9766,0.2130,1.000
0.022845573,0.0263,0.9764,0.2140,1.000
0.023177448,0.0253,0.9761,0.2135,1.000
0.023483489,0.0268,0.9766,0.2135,1.000
0.024402552,0.0246,0.9705,0.2157,0.994
0.028799323,0.0248,0.9739,0.2135,0.997
0.030479896,0.0280,0.9734,0.2152,0.997
0.031548698,0.0270,0.9712,0.2145,0.995
0.034052291,0.0231,0.9734,0.2128,0.997
0.036073177,0.0248,0.9722,0.2147,0.996
0.045214583,0.0246,0.9722,0.2169,0.996
0.045790729,0.0261,0.9746,0.2145,0.998
0.04611,0.0239,0.9754,0.2160,0.999
0.046424375,0.0204,0.9739,0.2167,0.998
0.047542969,0.0207,0.9798,0.2123,1.003
0.05253651,0.0222,0.9822,0.2150,1.006
0.052936094,0.0224,0.9793,0.2160,1.003
0.05659401,0.0207,0.9768,0.2133,1.000
0.056953021,0.0214,0.9800,0.2135,1.003
0.061379844,0.0212,0.9808,0.2118,1.004
0.061796562,0.0204,0.9808,0.2096,1.003
0.064294844,0.0180,0.9786,0.2079,1.001
0.06718625,0.0163,0.9834,0.2086,1.005
0.068752448,0.0197,0.9820,0.2072,1.004
0.070763177,0.0185,0.9810,0.2082,1.003
0.072775521,0.0200,0.9768,0.2072,0.999
0.075409791,0.0202,0.9800,0.2086,1.002
0.077926979,0.0197,0.9795,0.2072,1.001
0.080176823,0.0178,0.9825,0.2072,1.004
0.083167916,0.0204,0.9822,0.2062,1.004
0.084334166,0.0204,0.9795,0.2060,1.001
0.087167916,0.0165,0.9788,0.2050,1.000
0.089260677,0.0175,0.9781,0.2072,1.000
0.091520312,0.0190,0.9793,0.2079,1.001
0.094816302,0.0173,0.9839,0.2077,1.006
0.09715125,0.0185,0.9793,0.2060,1.001
0.099185312,0.0183,0.9822,0.2062,1.004
0.101454166,0.0187,0.9761,0.2074,0.998
0.103302864,0.0173,0.9798,0.2096,1.002
0.105592031,0.0183,0.9776,0.2082,1.000
0.108268437,0.0200,0.9766,0.2086,0.999
0.110749323,0.0214,0.9790,0.2099,1.002
0.113041406,0.0197,0.9827,0.2084,1.005
0.115589739,0.0222,0.9746,0.2084,0.997
0.117271406,0.0212,0.9786,0.2082,1.001
0.119831875,0.0197,0.9783,0.2099,1.001
0.122238073,0.0209,0.9739,0.2108,0.997
0.124801562,0.0234,0.9725,0.2086,0.995
0.127645677,0.0239,0.9732,0.2135,0.997
0.129790729,0.0248,0.9739,0.2118,0.997
0.131959791,0.0224,0.9727,0.2128,0.996
0.134523125,0.0270,0.9803,0.2123,1.003
0.136159166,0.0261,0.9793,0.2113,1.002
0.138507552,0.0231,0.9793,0.2096,1.002
0.141291146,0.0239,0.9795,0.2108,1.002
0.143945364,0.0251,0.9764,0.2113,0.999
0.146302031,0.0229,0.9790,0.2121,1.002
0.149471041,0.0224,0.9781,0.2101,1.001
0.151111927,0.0244,0.9788,0.2106,1.001
0.153143489,0.0212,0.9803,0.2077,1.002
0.162251406,0.0234,0.9776,0.2079,1.000
0.163363541,0.0229,0.9761,0.2082,0.998
0.163889687,0.0212,0.9781,0.2096,1.001
0.164435,0.0248,0.9766,0.2108,0.999
0.170372031,0.0229,0.9744,0.2094,0.997
0.17116401,0.0217,0.9798,0.2106,1.002
0.171950677,0.0236,0.9800,0.2101,1.003
0.172480052,0.0231,0.9766,0.2099,0.999
0.177250208,0.0241,0.9783,0.2099,1.001
0.178074479,0.0241,0.9766,0.2111,0.999
0.179580416,0.0192,0.9773,0.2113,1.000
0.182124271,0.0229,0.9820,0.2094,1.004
0.183560625,0.0234,0.9798,0.2094,1.002
0.185434948,0.0244,0.9776,0.2108,1.000
0.187724948,0.0212,0.9805,0.2113,1.003
0.190428125,0.0226,0.9822,0.2108,1.005
0.193071614,0.0192,0.9768,0.2113,1.000
0.195746718,0.0197,0.9766,0.2111,0.999
0.197864687,0.0214,0.9803,0.2108,1.003
0.200316406,0.0231,0.9771,0.2099,1.000
0.202322708,0.0229,0.9766,0.2086,0.999
0.204708802,0.0222,0.9759,0.2086,0.998
0.207609583,0.0219,0.9751,0.2094,0.998
0.209452396,0.0200,0.9776,0.2094,1.000
0.213655573,0.0226,0.9729,0.2094,0.995
0.215743541,0.0219,0.9742,0.2108,0.997
0.216672239,0.0217,0.9705,0.2099,0.993
0.218933541,0.0224,0.9703,0.2084,0.993
0.221163698,0.0236,0.9710,0.2094,0.994
0.224167343,0.0234,0.9707,0.2116,0.994
0.225956198,0.0219,0.9649,0.2130,0.988
0.228700573,0.0197,0.9651,0.2152,0.989
0.232377708,0.0212,0.9683,0.2111,0.991
0.233730208,0.0226,0.9685,0.2103,0.991
0.23496125,0.0219,0.9683,0.2140,0.992
0.237188541,0.0231,0.9673,0.2145,0.991
0.240136718,0.0212,0.9707,0.2143,0.994
0.243127343,0.0222,0.9671,0.2169,0.991
0.245488958,0.0231,0.9705,0.2157,0.994
0.248265573,0.0222,0.9678,0.2155,0.992
0.249818073,0.0195,0.9710,0.2157,0.995
0.251221979,0.0229,0.9720,0.2138,0.995
0.254048854,0.0209,0.9712,0.2169,0.995
0.257341823,0.0222,0.9725,0.2172,0.997
0.259712656,0.0170,0.9727,0.2152,0.996
0.260890468,0.0197,0.9773,0.2160,1.001
0.269047291,0.0187,0.9742,0.2145,0.998
0.269841927,0.0170,0.9754,0.2118,0.998
0.270381771,0.0168,0.9746,0.2103,0.997
0.271006406,0.0180,0.9756,0.2101,0.998
0.273526198,0.0229,0.9825,0.2101,1.005
0.275755781,0.0168,0.9837,0.2096,1.006
0.280149062,0.0131,0.9800,0.2096,1.002
0.282327448,0.0143,0.9778,0.2064,0.999
0.283341562,0.0170,0.9790,0.2060,1.001
0.284071354,0.0173,0.9837,0.2057,1.005
0.287091354,0.0183,0.9810,0.2050,1.002
0.289821198,0.0180,0.9793,0.2038,1.000
0.291126979,0.0180,0.9790,0.2040,1.000
0.294634635,0.0143,0.9854,0.2023,1.006
0.295808229,0.0180,0.9795,0.2025,1.000
0.298835416,0.0161,0.9790,0.2045,1.000
0.300818385,0.0156,0.9800,0.2020,1.001
0.303294896,0.0165,0.9768,0.2033,0.998
