gFx,gFy,gFz
-0.0414,1.0628,0.1813
-0.0353,1.0616,0.1786
-0.0282,1.0596,0.1747
-0.0184,1.0628,0.1695
-0.0023,1.0672,0.1627
0.0153,1.0741,0.1573
0.0319,1.0848,0.1498
0.0447,1.099,0.1437
0.0598,1.1173,0.1373
0.0671,1.1369,0.1271
0.071,1.1566,0.12
0.0747,1.1781,0.1102
0.0798,1.1992,0.1004
0.0781,1.2165,0.0941
0.074,1.2377,0.086
0.07,1.2575,0.0821
0.0593,1.2702,0.0784
0.0481,1.2908,0.0723
0.0395,1.3045,0.0677
0.0305,1.312,0.0628
0.0231,1.3255,0.0579
0.0222,1.3372,0.0511
0.0204,1.3433,0.0408
0.0222,1.3491,0.0298
0.0268,1.3562,0.0174
0.028,1.3636,0.0002
0.0314,1.3682,-0.0183
0.0358,1.3741,-0.0388
0.0395,1.3733,-0.0606
0.0353,1.3746,-0.084
0.0309,1.3719,-0.1072
0.0305,1.3694,-0.1297
0.0202,1.3574,-0.1527
0.0104,1.3511,-0.172
0.0075,1.3357,-0.193
0.0002,1.3191,-0.215
-0.0035,1.3023,-0.2331
-0.0062,1.2824,-0.2504
-0.0079,1.2627,-0.2687
-0.0059,1.2372,-0.2826
-0.0047,1.2116,-0.2951
-0.0081,1.1882,-0.3063
-0.0115,1.1681,-0.3115
-0.013,1.1457,-0.3151
-0.0147,1.1185,-0.3217
-0.0103,1.0936,-0.3237
-0.0025,1.0648,-0.322
0.0085,1.0399,-0.3173
0.0158,1.0203,-0.3166
0.0253,0.9978,-0.3083
0.0314,0.9761,-0.3019
0.0341,0.9607,-0.2941
0.0388,0.9417,-0.2851
0.0417,0.9272,-0.2792
0.039,0.9099,-0.2675
0.0383,0.896,-0.2619
0.0385,0.8806,-0.2558
0.038,0.8652,-0.2472
0.0392,0.8547,-0.2375
0.04,0.842,-0.2299
0.0402,0.8337,-0.2198
0.0432,0.8249,-0.2101
0.0456,0.8139,-0.1991
0.0471,0.8071,-0.1913
0.0473,0.7985,-0.1793
0.0483,0.7914,-0.1702
0.0461,0.789,-0.1541
0.052,0.7819,-0.1429
0.0527,0.7763,-0.1334
0.0576,0.7694,-0.118
0.0605,0.7633,-0.107
0.0644,0.7606,-0.097
0.0652,0.7558,-0.0894
0.0652,0.7511,-0.0767
0.0666,0.7499,-0.0642
0.0725,0.7475,-0.0562
0.0722,0.7462,-0.0432
0.0732,0.7465,-0.0298
0.0752,0.7518,-0.0205
0.0722,0.7536,-0.0083
0.0674,0.7592,0.0017
0.0625,0.7653,0.013
0.0573,0.7716,0.0242
0.0498,0.7799,0.0364
0.0412,0.7905,0.0489
0.0317,0.7988,0.0574
0.0209,0.8115,0.0692
0.0085,0.8239,0.0782
0.0007,0.8356,0.0877
-0.0118,0.8437,0.0953
-0.0213,0.861,0.0965
-0.0248,0.8706,0.1019
-0.0333,0.8806,0.1036
-0.037,0.8938,0.1041
-0.0396,0.9058,0.1043
-0.0426,0.9148,0.1026
-0.0409,0.9197,0.1016
-0.0396,0.9312,0.097
-0.0406,0.9434,0.0909
-0.0382,0.9478,0.088
-0.0372,0.9602,0.0848
-0.0306,0.9707,0.0831
-0.026,0.9766,0.0797
-0.0228,0.9842,0.0762
-0.0186,0.9937,0.0762
-0.0115,0.9991,0.0743
-0.0027,1.0052,0.0733
0.0012,1.0101,0.0704
0.0097,1.0152,0.0699
0.0146,1.0194,0.0679
0.0248,1.0211,0.0694
0.0331,1.0255,0.067
0.0412,1.0301,0.0667
0.049,1.0274,0.0667
0.0578,1.0284,0.0655
0.0622,1.0272,0.0645
0.07,1.0235,0.0643
0.0791,1.0167,0.0618
0.0891,1.0179,0.0618
0.0913,1.0064,0.055
0.0949,0.9991,0.0518
0.1016,0.9932,0.0474
0.1069,0.9888,0.045
0.1087,0.9786,0.0413
0.113,0.9654,0.0354
0.1143,0.9583,0.0335
0.1157,0.9502,0.0274
0.1157,0.9385,0.023
0.1218,0.9285,0.0181
0.1187,0.9248,0.0122
0.1216,0.9111,0.0069
0.1209,0.9055,0.0027
0.1209,0.8943,-0.0034
0.1189,0.8874,-0.0083
0.1182,0.8769,-0.0146
0.1172,0.8652,-0.0193
0.115,0.8574,-0.0225
0.115,0.8476,-0.0259
0.113,0.8422,-0.0283
0.1096,0.8312,-0.031
0.1057,0.8242,-0.0342
0.1013,0.8171,-0.0361
0.0954,0.8102,-0.0342
0.0935,0.8049,-0.0347
0.0881,0.799,-0.0369
0.0876,0.7922,-0.0322
0.0849,0.7853,-0.0308
0.0783,0.777,-0.0273
0.0764,0.7716,-0.0239
0.0708,0.7665,-0.0232
0.0708,0.7638,-0.0171
0.0649,0.7553,-0.012
0.0625,0.7516,-0.0076
0.0613,0.7418,0.0005
0.0566,0.7382,0.0081
0.0547,0.733,0.0132
0.0515,0.7304,0.0186
0.0478,0.7254,0.0247
0.0444,0.7186,0.0293
0.0434,0.7169,0.0325
0.0368,0.7142,0.0403
0.0346,0.7132,0.0447
0.0319,0.7142,0.0481
0.0273,0.7103,0.0506
0.0207,0.7064,0.0501
0.0146,0.7086,0.054
0.0109,0.7035,0.0567
0.0068,0.7066,0.0579
0.0021,0.7084,0.0604
-0.0052,0.7059,0.0611
-0.0103,0.7076,0.0618
-0.0125,0.7123,0.0633
-0.0184,0.7176,0.0655
-0.0204,0.7179,0.0655
-0.0265,0.724,0.0643
-0.0277,0.7272,0.0626
-0.0287,0.7276,0.0611
-0.0291,0.7355,0.0616
-0.0291,0.7382,0.0594
-0.0255,0.7416,0.0628
-0.0265,0.7482,0.0606
-0.0221,0.7518,0.0604
-0.0208,0.7572,0.0574
-0.014,0.765,0.0587
-0.0113,0.7738,0.0591
-0.0079,0.7846,0.0594
0.0038,0.7895,0.0606
0.0068,0.8019,0.0596
0.0161,0.809,0.0623
0.0253,0.8166,0.0643
0.0366,0.8256,0.0648
0.0461,0.8381,0.0643
0.0522,0.8471,0.0662
0.062,0.8525,0.0662
0.0676,0.8674,0.067
0.074,0.8764,0.0655
0.0837,0.8823,0.0689
0.0901,0.8984,0.0657
0.0949,0.9106,0.0704
0.103,0.9202,0.0699
0.1099,0.9316,0.074
0.1116,0.9439,0.0758
0.1143,0.9544,0.0811
0.1138,0.9659,0.0828
0.115,0.9795,0.0858
0.1182,0.9913,0.0899
0.1189,1.0032,0.0946
0.1201,1.0159,0.0989
0.116,1.0308,0.1011
0.1109,1.0406,0.1033
0.1089,1.0491,0.1087
0.103,1.0604,0.1097
0.1025,1.0777,0.1148
0.0971,1.086,0.1151
0.0888,1.097,0.1192
